"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006738",2011,"Liverpool 058A","Total",1501,721,275,446,0,620,125,495,154,153,0,0,1,6
"E01006739",2011,"Liverpool 058B","Total",1738,507,147,360,0,1072,189,883,143,114,1,19,9,16
"E01006740",2011,"Liverpool 057A","Total",1280,288,116,172,2,801,108,693,175,161,0,14,0,14
"E01006741",2011,"Liverpool 058C","Total",1815,886,301,585,0,763,185,578,153,146,0,7,0,13
"E01006742",2011,"Liverpool 057B","Total",1394,895,274,621,6,324,59,265,161,151,0,7,3,8
"E01006743",2011,"Liverpool 058D","Total",2175,1123,279,844,5,508,68,440,530,510,2,16,2,9
"E01006744",2011,"Liverpool 057C","Total",1482,901,250,651,34,208,22,186,323,305,0,15,3,16
"E01006745",2011,"Liverpool 057D","Total",1854,789,317,472,2,365,48,317,687,660,0,19,8,11
"E01006746",2011,"Liverpool 030E","Total",1506,406,215,191,0,623,138,485,460,439,0,19,2,17
"E01006747",2011,"Liverpool 031B","Total",1655,227,120,107,6,506,61,445,888,849,8,17,14,28
"E01006748",2011,"Liverpool 031C","Total",1936,439,245,194,21,353,15,338,1110,1058,7,35,10,13
"E01006751",2011,"Liverpool 031F","Total",2043,417,173,244,14,982,233,749,590,573,1,0,16,40
"E01006752",2011,"Liverpool 035F","Total",1012,502,195,307,0,181,23,158,322,321,0,0,1,7
"E01006753",2011,"Liverpool 059A","Total",1557,559,178,381,7,832,182,650,151,146,0,5,0,8
"E01006754",2011,"Liverpool 059B","Total",1627,621,236,385,5,732,209,523,257,242,0,6,9,12
"E01006755",2011,"Liverpool 059C","Total",1552,339,84,255,2,1015,266,749,165,158,0,3,4,31
"E01006756",2011,"Liverpool 059D","Total",1820,533,178,355,6,1023,254,769,241,239,0,0,2,17
"E01006757",2011,"Liverpool 059E","Total",1491,574,204,370,1,738,131,607,161,140,0,17,4,17
"E01006758",2011,"Liverpool 059F","Total",1527,644,187,457,0,773,175,598,101,90,0,7,4,9
"E01006759",2011,"Liverpool 028D","Total",1052,650,257,393,2,91,23,68,292,282,0,10,0,17
"E01006760",2011,"Liverpool 028E","Total",1548,488,197,291,0,307,35,272,736,700,6,17,13,17
"E01006761",2011,"Liverpool 020B","Total",1583,835,293,542,11,344,39,305,375,354,2,19,0,18
"E01006762",2011,"Liverpool 015E","Total",1692,785,292,493,0,681,49,632,204,186,0,9,9,22
"E01006763",2011,"Liverpool 020C","Total",1471,930,285,645,6,63,4,59,456,440,1,14,1,16
"E01006764",2011,"Liverpool 020D","Total",1522,792,301,491,10,170,18,152,541,510,4,18,9,9
"E01006765",2011,"Liverpool 020E","Total",1468,886,301,585,32,217,66,151,326,310,0,16,0,7
"E01006766",2011,"Liverpool 019E","Total",1265,488,181,307,7,275,10,265,480,474,0,3,3,15
"E01006767",2011,"Liverpool 019F","Total",1784,847,241,606,5,293,12,281,618,608,1,8,1,21
"E01006768",2011,"Liverpool 020F","Total",1347,838,317,521,5,125,9,116,362,343,2,16,1,17
