"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"E01006632",2011,"Liverpool 044C","Total",911,908,2,1,915,884,31,25,58,558,219,28,27,0
"E01006633",2011,"Liverpool 050B","Total",721,721,0,0,721,699,22,16,156,414,123,9,3,0
"E01006637",2011,"Liverpool 017A","Total",707,707,0,0,707,670,37,58,213,424,3,6,3,0
"E01006638",2011,"Liverpool 017B","Total",534,534,0,0,534,518,16,33,112,379,8,1,1,0
"E01006639",2011,"Liverpool 017C","Total",672,672,0,0,672,640,32,78,325,232,37,0,0,0
"E01006640",2011,"Liverpool 021F","Total",778,778,0,0,778,760,18,203,395,106,62,8,4,0
"E01006641",2011,"Liverpool 025C","Total",646,646,0,0,646,633,13,22,451,168,4,0,1,0
"E01006642",2011,"Liverpool 025D","Total",606,606,0,0,606,590,16,29,106,449,19,3,0,0
"E01006643",2011,"Liverpool 025E","Total",764,764,0,0,764,740,24,54,213,467,23,2,5,0
"E01006644",2011,"Liverpool 017D","Total",1014,1014,0,0,1014,963,51,71,157,427,349,10,0,0
"E01006645",2011,"Liverpool 017E","Total",702,702,0,0,702,690,12,24,169,378,129,1,1,0
"E01006646",2011,"Liverpool 023C","Total",1048,1048,0,0,1048,1006,42,38,315,194,458,43,0,0
"E01006647",2011,"Liverpool 024C","Total",640,640,0,0,640,636,4,52,346,194,44,3,1,0
"E01006648",2011,"Liverpool 023D","Total",1101,1100,0,1,1103,1075,28,54,322,245,466,4,12,0
"E01006651",2011,"Liverpool 001A","Total",616,616,0,0,616,592,24,302,258,47,6,3,0,0
"E01006652",2011,"Liverpool 002A","Total",653,653,0,0,653,633,20,8,113,508,4,9,11,0
"E01006653",2011,"Liverpool 001B","Total",678,678,0,0,678,656,22,47,169,422,40,0,0,0
"E01006654",2011,"Liverpool 005A","Total",650,650,0,0,650,627,23,189,57,291,91,3,19,0
"E01006655",2011,"Liverpool 001C","Total",753,753,0,0,753,706,47,78,326,283,54,1,10,1
"E01006656",2011,"Liverpool 002B","Total",696,696,0,0,696,669,27,13,138,505,11,12,17,0
"E01006657",2011,"Liverpool 002C","Total",600,598,0,2,606,582,24,17,112,417,23,24,13,0
"E01006658",2011,"Liverpool 001D","Total",648,648,0,0,648,634,14,19,106,428,94,0,1,0
"E01006659",2011,"Liverpool 005B","Total",573,573,0,0,573,548,25,35,151,219,166,2,0,0
"E01006660",2011,"Liverpool 001E","Total",631,631,0,0,631,616,15,85,182,280,79,4,1,0
"E01006661",2011,"Liverpool 004A","Total",765,765,0,0,765,749,16,42,213,457,50,3,0,0
"E01006662",2011,"Liverpool 004B","Total",802,802,0,0,802,785,17,33,351,290,128,0,0,0
"E01006663",2011,"Liverpool 004C","Total",521,521,0,0,521,510,11,32,220,234,35,0,0,0
"E01006664",2011,"Liverpool 004D","Total",875,875,0,0,875,822,53,58,277,336,189,10,5,0
"E01006665",2011,"Liverpool 007A","Total",642,642,0,0,642,630,12,218,315,107,0,0,2,0
"E01006666",2011,"Liverpool 007B","Total",518,518,0,0,518,514,4,334,172,10,1,0,1,0
"E01006667",2011,"Liverpool 007C","Total",626,626,0,0,626,618,8,200,202,223,1,0,0,0
"E01006668",2011,"Liverpool 007D","Total",594,594,0,0,594,590,4,173,400,16,3,0,2,0
"E01006669",2011,"Liverpool 004E","Total",560,560,0,0,560,551,9,301,169,87,3,0,0,0
"E01006670",2011,"Liverpool 007E","Total",627,627,0,0,627,607,20,337,212,71,5,2,0,0
"E01006671",2011,"Liverpool 013D","Total",506,506,0,0,506,499,7,284,46,174,1,1,0,0
"E01006672",2011,"Liverpool 010E","Total",822,822,0,0,822,798,24,60,279,465,11,2,5,0
"E01006673",2011,"Liverpool 037D","Total",965,957,1,7,998,954,44,35,217,215,333,192,6,0
"E01006674",2011,"Liverpool 039C","Total",1000,997,3,0,1003,826,177,86,249,472,106,86,4,0
"E01006675",2011,"Liverpool 043C","Total",1227,1211,4,12,1304,1132,172,20,40,109,549,575,11,0
"E01006676",2011,"Liverpool 044D","Total",798,797,0,1,800,761,39,47,145,483,105,13,6,1
"E01006677",2011,"Liverpool 043D","Total",787,786,1,0,788,477,311,28,148,557,34,6,15,0
"E01006678",2011,"Liverpool 044E","Total",1105,1104,0,1,1109,1059,50,42,163,463,257,172,12,0
"E01006679",2011,"Liverpool 039D","Total",931,923,3,5,962,920,42,91,240,293,248,71,19,0
"E01006680",2011,"Liverpool 053B","Total",623,623,0,0,623,605,18,17,579,11,7,3,6,0
"E01006681",2011,"Liverpool 054D","Total",738,738,0,0,738,719,19,41,379,72,236,2,8,0
"E01006682",2011,"Liverpool 053C","Total",507,507,0,0,507,498,9,27,468,7,1,0,4,0
"E01006683",2011,"Liverpool 053D","Total",606,606,0,0,606,594,12,15,560,20,3,1,7,0
"E01006684",2011,"Liverpool 056B","Total",1028,1028,0,0,1028,999,29,176,341,143,336,22,9,1
"E01006685",2011,"Liverpool 056C","Total",619,619,0,0,619,604,15,121,340,90,38,30,0,0
"E01006686",2011,"Liverpool 053E","Total",541,541,0,0,541,531,10,36,457,31,7,3,7,0
"E01006687",2011,"Liverpool 056D","Total",987,986,0,1,990,933,57,315,166,133,303,69,4,0
"E01006688",2011,"Liverpool 056E","Total",735,735,0,0,735,712,23,47,381,89,121,64,33,0
"E01006689",2011,"Liverpool 049D","Total",725,725,0,0,725,717,8,9,377,252,70,3,14,0
"E01006690",2011,"Liverpool 028A","Total",837,830,2,5,859,801,58,23,103,257,250,210,16,0
"E01006691",2011,"Liverpool 030A","Total",701,701,0,0,701,647,54,21,50,515,78,28,9,0
"E01006692",2011,"Liverpool 028B","Total",1038,1036,1,1,1045,989,56,48,319,362,185,107,24,0
"E01006693",2011,"Liverpool 024D","Total",862,859,3,0,865,838,27,26,314,220,276,17,12,0
"E01006694",2011,"Liverpool 030B","Total",978,976,1,1,981,891,90,43,52,804,48,27,7,0
"E01006695",2011,"Liverpool 028C","Total",1070,1054,5,11,1111,1029,82,18,77,245,321,447,3,0
"E01006696",2011,"Liverpool 030C","Total",823,822,0,1,826,768,58,40,212,430,107,25,12,0
"E01006697",2011,"Liverpool 030D","Total",889,889,0,0,889,828,61,30,35,710,49,44,21,0
"E01006698",2011,"Liverpool 012D","Total",768,768,0,0,768,725,43,15,32,661,11,28,21,0
"E01006699",2011,"Liverpool 014A","Total",807,807,0,0,807,777,30,25,60,539,167,10,6,0
"E01006700",2011,"Liverpool 012E","Total",685,685,0,0,685,653,32,9,28,537,51,22,37,1
"E01006701",2011,"Liverpool 014B","Total",723,722,0,1,728,671,57,29,338,226,68,45,22,0
"E01006702",2011,"Liverpool 014C","Total",809,809,0,0,809,740,69,36,163,563,23,10,14,0
"E01006703",2011,"Liverpool 014D","Total",836,836,0,0,836,818,18,26,120,370,281,24,15,0
"E01006705",2011,"Liverpool 009E","Total",756,756,0,0,756,689,67,7,20,637,45,22,25,0
"E01006706",2011,"Liverpool 045A","Total",584,584,0,0,584,582,2,23,144,381,34,0,0,2
"E01006707",2011,"Liverpool 045B","Total",557,557,0,0,557,553,4,29,198,320,8,0,2,0
"E01006708",2011,"Liverpool 045C","Total",761,761,0,0,761,754,7,49,434,247,30,1,0,0
"E01006709",2011,"Liverpool 040A","Total",697,696,1,0,698,685,13,11,181,360,141,3,2,0
"E01006710",2011,"Liverpool 045D","Total",604,604,0,0,604,592,12,21,54,525,3,0,1,0
"E01006711",2011,"Liverpool 027A","Total",736,733,1,2,742,685,57,21,83,503,73,23,39,0
"E01006712",2011,"Liverpool 029D","Total",587,587,0,0,587,569,18,8,26,540,1,1,11,0
"E01006713",2011,"Liverpool 029E","Total",623,623,0,0,623,604,19,6,27,586,0,1,3,0
"E01006716",2011,"Liverpool 032E","Total",722,722,0,0,722,701,21,23,132,429,115,9,14,0
"E01006717",2011,"Liverpool 027D","Total",590,589,0,1,594,576,18,19,351,174,23,23,3,1
"E01006718",2011,"Liverpool 027E","Total",700,700,0,0,700,678,22,17,90,466,69,54,4,0
"E01006719",2011,"Liverpool 027F","Total",655,655,0,0,655,638,17,12,65,543,17,2,16,0
"E01006720",2011,"Liverpool 035A","Total",986,983,2,1,990,905,85,42,124,669,88,48,19,0
"E01006721",2011,"Liverpool 038C","Total",964,963,1,0,965,912,53,12,60,684,170,13,26,0
"E01006722",2011,"Liverpool 038D","Total",648,647,1,0,649,608,41,25,106,428,23,42,25,0
"E01006723",2011,"Liverpool 038E","Total",771,770,0,1,774,749,25,6,30,576,82,68,12,0
"E01006724",2011,"Liverpool 038F","Total",571,571,0,0,571,554,17,7,37,488,10,26,3,0
"E01006725",2011,"Liverpool 035B","Total",769,769,0,0,769,739,30,15,153,486,69,18,28,0
"E01006726",2011,"Liverpool 035C","Total",707,707,0,0,707,659,48,15,65,559,25,40,3,0
"E01006727",2011,"Liverpool 035D","Total",696,694,1,1,699,665,34,6,36,602,20,25,10,0
"E01006728",2011,"Liverpool 035E","Total",901,901,0,0,901,855,46,21,51,749,62,15,3,0
"E01006729",2011,"Liverpool 008C","Total",541,541,0,0,541,539,2,17,236,286,2,0,0,0
"E01006730",2011,"Liverpool 011C","Total",551,551,0,0,551,542,9,26,167,353,3,2,0,0
"E01006731",2011,"Liverpool 011D","Total",513,513,0,0,513,486,27,19,123,344,4,0,23,0
"E01006732",2011,"Liverpool 011E","Total",654,654,0,0,654,644,10,24,327,297,5,1,0,0
"E01006734",2011,"Liverpool 005C","Total",645,645,0,0,645,625,20,16,171,440,12,6,0,0
"E01006735",2011,"Liverpool 005D","Total",575,575,0,0,575,571,4,20,125,399,29,0,1,1
"E01006736",2011,"Liverpool 005E","Total",598,598,0,0,598,582,16,20,174,397,4,3,0,0
"E01006737",2011,"Liverpool 005F","Total",567,567,0,0,567,562,5,17,167,366,14,3,0,0
"E01006738",2011,"Liverpool 058A","Total",676,676,0,0,676,662,14,14,92,558,12,0,0,0
"E01006739",2011,"Liverpool 058B","Total",718,718,0,0,718,707,11,39,157,456,61,4,1,0
"E01006740",2011,"Liverpool 057A","Total",620,620,0,0,620,604,16,12,119,351,135,2,1,0
"E01006741",2011,"Liverpool 058C","Total",789,789,0,0,789,778,11,37,119,599,34,0,0,0
"E01006742",2011,"Liverpool 057B","Total",602,598,1,3,615,591,24,3,255,313,12,24,8,0
"E01006743",2011,"Liverpool 058D","Total",1026,1026,0,0,1026,1008,18,78,269,346,321,4,8,0
"E01006744",2011,"Liverpool 057C","Total",775,775,0,0,775,739,36,8,31,654,51,26,5,0
"E01006745",2011,"Liverpool 057D","Total",937,935,1,1,949,907,42,29,77,447,209,135,52,0
"E01006746",2011,"Liverpool 030E","Total",666,665,0,1,670,655,15,26,116,426,81,10,11,0
"E01006747",2011,"Liverpool 031B","Total",864,859,2,3,891,857,34,22,53,284,456,50,25,1
"E01006748",2011,"Liverpool 031C","Total",777,777,0,0,777,756,21,22,59,619,32,42,3,0
"E01006751",2011,"Liverpool 031F","Total",848,848,0,0,848,831,17,44,345,221,223,13,2,0
"E01006752",2011,"Liverpool 035F","Total",507,507,0,0,507,489,18,17,291,114,74,10,1,0
"E01006753",2011,"Liverpool 059A","Total",677,677,0,0,677,666,11,34,100,508,35,0,0,0
"E01006754",2011,"Liverpool 059B","Total",837,837,0,0,837,781,56,27,153,445,205,7,0,0
"E01006755",2011,"Liverpool 059C","Total",706,706,0,0,706,690,16,28,144,392,140,0,1,1
"E01006756",2011,"Liverpool 059D","Total",769,769,0,0,769,757,12,39,157,529,40,1,3,0
"E01006757",2011,"Liverpool 059E","Total",634,634,0,0,634,621,13,33,116,451,34,0,0,0
"E01006758",2011,"Liverpool 059F","Total",644,644,0,0,644,639,5,20,100,484,39,1,0,0
"E01006759",2011,"Liverpool 028D","Total",472,469,0,3,480,460,20,23,106,240,55,51,5,0
"E01006760",2011,"Liverpool 028E","Total",845,833,0,12,899,826,73,24,141,159,178,367,30,0
"E01006761",2011,"Liverpool 020B","Total",805,805,0,0,805,793,12,20,206,324,226,21,8,0
