"lsoa11cd","date","lsoa11nm","Social Grade: All categories: Approximated social grade; measures: Value","Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value","Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value","Social Grade: C2 Skilled manual occupations; measures: Value","Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value"
"E01006790",2011,"Liverpool 006C",1078,76,256,183,563
"E01006791",2011,"Liverpool 006D",1121,49,257,228,587
"E01006792",2011,"Liverpool 046A",786,361,253,83,89
"E01006793",2011,"Liverpool 051A",915,271,270,152,222
"E01006794",2011,"Liverpool 046B",1016,360,360,125,171
"E01006795",2011,"Liverpool 051B",938,337,306,169,126
"E01006796",2011,"Liverpool 047E",987,555,294,58,80
"E01006797",2011,"Liverpool 051C",990,129,298,186,377
"E01006798",2011,"Liverpool 051D",932,269,314,174,175
"E01006799",2011,"Liverpool 051E",1055,251,325,189,290
"E01006800",2011,"Liverpool 046C",766,178,293,170,125
"E01006801",2011,"Liverpool 046D",810,207,296,179,128
"E01032505",2011,"Liverpool 050F",892,192,272,162,266
"E01032506",2011,"Liverpool 050G",976,197,265,167,347
"E01032507",2011,"Liverpool 050H",1188,312,404,204,268
"E01032508",2011,"Liverpool 027G",1168,84,331,218,535
"E01032509",2011,"Liverpool 027H",954,71,270,236,377
"E01032510",2011,"Liverpool 008F",1233,120,327,325,461
"E01032511",2011,"Liverpool 008G",968,86,274,230,378
"E01033747",2011,"Liverpool 018F",648,27,142,97,382
"E01033748",2011,"Liverpool 050I",1153,421,454,123,155
"E01033749",2011,"Liverpool 042F",1103,50,988,32,33
"E01033750",2011,"Liverpool 061A",1325,523,560,117,125
"E01033751",2011,"Liverpool 062A",874,263,372,71,168
"E01033752",2011,"Liverpool 062B",1155,473,522,66,94
"E01033753",2011,"Liverpool 062C",1012,423,456,66,67
"E01033754",2011,"Liverpool 061B",1235,363,529,126,217
"E01033755",2011,"Liverpool 062D",1038,358,513,65,102
"E01033756",2011,"Liverpool 061C",1069,336,601,45,87
"E01033757",2011,"Liverpool 037E",931,82,668,32,149
"E01033758",2011,"Liverpool 060B",630,49,375,52,154
"E01033759",2011,"Liverpool 010F",728,70,178,192,288
"E01033760",2011,"Liverpool 060C",830,162,515,41,112
"E01033761",2011,"Liverpool 060D",1312,365,728,90,129
"E01033762",2011,"Liverpool 060E",652,116,369,48,119
"E01033763",2011,"Liverpool 031G",1100,89,377,140,494
"E01033764",2011,"Liverpool 022E",1414,69,318,220,807
"E01033765",2011,"Liverpool 061D",918,144,212,154,408
"E01033766",2011,"Liverpool 042G",873,243,393,111,126
"E01033767",2011,"Liverpool 050J",743,61,199,143,340
"E01033768",2011,"Liverpool 037F",1057,200,454,86,317
