"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: No central heating; measures: Value","Central Heating: Gas central heating; measures: Value","Central Heating: Electric (including storage heaters) central heating; measures: Value","Central Heating: Oil central heating; measures: Value","Central Heating: Solid fuel (for example wood, coal) central heating; measures: Value","Central Heating: Other central heating; measures: Value","Central Heating: Two or more types of central heating; measures: Value"
"E01006625",2011,"Liverpool 016D","Total",609,28,535,28,0,0,8,10
"E01006626",2011,"Liverpool 016E","Total",593,23,534,17,0,2,8,9
"E01006627",2011,"Liverpool 013C","Total",600,32,528,9,3,0,13,15
"E01006628",2011,"Liverpool 052D","Total",651,32,564,28,0,0,13,14
"E01006629",2011,"Liverpool 052E","Total",573,13,516,26,0,0,1,17
"E01006630",2011,"Liverpool 044B","Total",555,1,499,6,0,0,23,26
"E01006632",2011,"Liverpool 044C","Total",884,30,777,32,0,0,19,26
"E01006633",2011,"Liverpool 050B","Total",699,38,568,39,2,0,25,27
"E01006637",2011,"Liverpool 017A","Total",670,9,602,11,1,0,18,29
"E01006638",2011,"Liverpool 017B","Total",518,11,453,10,0,1,17,26
"E01006639",2011,"Liverpool 017C","Total",640,15,592,9,0,0,10,14
"E01006640",2011,"Liverpool 021F","Total",760,20,701,12,0,0,9,18
"E01006641",2011,"Liverpool 025C","Total",633,15,577,11,0,0,10,20
"E01006642",2011,"Liverpool 025D","Total",590,20,522,20,0,3,9,16
"E01006643",2011,"Liverpool 025E","Total",740,25,653,13,0,0,26,23
"E01006644",2011,"Liverpool 017D","Total",963,29,798,83,0,1,19,33
