"lsoa11cd","date","lsoa11nm","Rural Urban","Ethnic Group: All categories: Ethnic group; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"E01006630",2011,"Liverpool 044B","Total",1338,1117,1086,18,0,13,59,16,22,5,16,41,7,1,0,26,7,73,60,8,5,48,44,4
"E01006632",2011,"Liverpool 044C","Total",1842,1625,1580,12,0,33,45,19,6,9,11,45,21,4,2,14,4,53,38,2,13,74,47,27
"E01006633",2011,"Liverpool 050B","Total",1432,1376,1329,5,0,42,26,7,15,1,3,11,0,0,0,4,7,8,0,3,5,11,10,1
"E01006637",2011,"Liverpool 017A","Total",1596,1424,1353,4,3,64,20,8,5,2,5,71,40,0,0,15,16,69,69,0,0,12,8,4
"E01006638",2011,"Liverpool 017B","Total",1219,1113,1087,3,0,23,24,6,13,1,4,45,13,0,6,16,10,30,27,0,3,7,0,7
"E01006639",2011,"Liverpool 017C","Total",1509,1436,1417,4,0,15,17,6,4,1,6,44,15,0,0,23,6,11,9,0,2,1,0,1
"E01006640",2011,"Liverpool 021F","Total",1880,1766,1726,16,0,24,23,15,4,1,3,59,8,15,0,33,3,10,5,0,5,22,10,12
"E01006641",2011,"Liverpool 025C","Total",1740,1428,1386,9,0,33,20,2,3,8,7,257,151,1,0,43,62,23,16,0,7,12,2,10
"E01006642",2011,"Liverpool 025D","Total",1290,1228,1205,13,0,10,16,5,0,6,5,31,15,0,0,11,5,14,10,3,1,1,1,0
"E01006643",2011,"Liverpool 025E","Total",1822,1694,1661,18,0,15,42,16,10,9,7,48,25,1,0,7,15,31,29,1,1,7,5,2
"E01006644",2011,"Liverpool 017D","Total",2040,1928,1885,16,0,27,39,18,8,10,3,40,2,0,7,19,12,29,22,0,7,4,2,2
"E01006645",2011,"Liverpool 017E","Total",1424,1375,1345,9,0,21,17,2,5,2,8,12,1,0,0,10,1,20,19,0,1,0,0,0
"E01006646",2011,"Liverpool 023C","Total",1899,1683,1519,35,1,128,47,12,13,11,11,84,25,2,2,40,15,42,26,8,8,43,43,0
"E01006647",2011,"Liverpool 024C","Total",1422,1335,1291,8,0,36,35,16,9,0,10,13,0,1,4,7,1,30,25,2,3,9,5,4
"E01006648",2011,"Liverpool 023D","Total",2175,1940,1776,43,0,121,59,21,13,9,16,94,40,8,4,26,16,33,30,3,0,49,40,9
"E01006651",2011,"Liverpool 001A","Total",1642,1564,1534,10,0,20,22,4,1,6,11,39,13,5,0,18,3,12,8,1,3,5,3,2
"E01006652",2011,"Liverpool 002A","Total",1505,1438,1411,13,0,14,6,1,1,0,4,51,41,4,0,6,0,0,0,0,0,10,7,3
"E01006653",2011,"Liverpool 001B","Total",1520,1454,1437,9,0,8,12,3,4,3,2,53,30,0,0,4,19,1,0,1,0,0,0,0
"E01006654",2011,"Liverpool 005A","Total",1513,1447,1426,10,0,11,11,1,3,1,6,53,29,0,0,17,7,2,1,0,1,0,0,0
"E01006655",2011,"Liverpool 001C","Total",1758,1573,1542,18,0,13,19,5,6,4,4,115,69,5,1,17,23,23,17,3,3,28,18,10
"E01006656",2011,"Liverpool 002B","Total",1493,1479,1452,14,1,12,4,2,0,0,2,5,0,0,3,0,2,2,2,0,0,3,1,2
"E01006657",2011,"Liverpool 002C","Total",1211,1169,1156,6,0,7,14,3,2,4,5,21,12,0,1,8,0,3,2,1,0,4,0,4
"E01006658",2011,"Liverpool 001D","Total",1300,1248,1227,2,0,19,13,6,2,1,4,23,13,0,0,1,9,6,2,1,3,10,6,4
