"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating (rooms); measures: Value","Occupancy Rating: Occupancy rating (rooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (rooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -2 or less; measures: Value"
"E01006784",2011,"Liverpool 003C","Total",586,372,110,81,19,4
"E01006785",2011,"Liverpool 003D","Total",781,373,193,137,71,7
"E01006786",2011,"Liverpool 003E","Total",764,485,147,101,24,7
"E01006787",2011,"Liverpool 006A","Total",691,289,129,178,63,32
"E01006788",2011,"Liverpool 006B","Total",681,430,160,66,18,7
"E01006790",2011,"Liverpool 006C","Total",801,230,260,230,71,10
"E01006791",2011,"Liverpool 006D","Total",873,299,290,228,42,14
"E01006792",2011,"Liverpool 046A","Total",557,449,67,31,10,0
"E01006793",2011,"Liverpool 051A","Total",759,326,171,217,41,4
"E01006794",2011,"Liverpool 046B","Total",711,465,158,66,19,3
"E01006795",2011,"Liverpool 051B","Total",628,409,141,55,22,1
"E01006796",2011,"Liverpool 047E","Total",581,522,28,20,8,3
"E01006797",2011,"Liverpool 051C","Total",707,357,136,145,61,8
"E01006798",2011,"Liverpool 051D","Total",609,381,115,96,16,1
"E01006799",2011,"Liverpool 051E","Total",1145,311,412,345,73,4
"E01006800",2011,"Liverpool 046C","Total",679,475,152,41,9,2
"E01006801",2011,"Liverpool 046D","Total",609,447,122,32,6,2
"E01032505",2011,"Liverpool 050F","Total",563,291,161,80,23,8
"E01032506",2011,"Liverpool 050G","Total",656,316,172,115,39,14
"E01032507",2011,"Liverpool 050H","Total",666,404,133,95,28,6
"E01032508",2011,"Liverpool 027G","Total",847,274,270,207,83,13
"E01032509",2011,"Liverpool 027H","Total",665,278,216,132,32,7
"E01032510",2011,"Liverpool 008F","Total",776,309,264,147,43,13
"E01032511",2011,"Liverpool 008G","Total",616,265,207,111,26,7
"E01033747",2011,"Liverpool 018F","Total",496,139,152,166,31,8
"E01033748",2011,"Liverpool 050I","Total",772,100,250,296,118,8
"E01033749",2011,"Liverpool 042F","Total",1039,121,279,134,213,292
"E01033750",2011,"Liverpool 061A","Total",905,89,366,297,126,27
"E01033751",2011,"Liverpool 062A","Total",603,74,281,185,50,13
"E01033752",2011,"Liverpool 062B","Total",790,30,110,363,240,47
"E01033753",2011,"Liverpool 062C","Total",714,25,68,341,242,38
"E01033754",2011,"Liverpool 061B","Total",838,91,204,269,245,29
"E01033755",2011,"Liverpool 062D","Total",675,28,128,258,212,49
"E01033756",2011,"Liverpool 061C","Total",733,49,88,188,282,126
