"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"E01006642",2011,"Liverpool 025D","Total",1290,84,46,35,94,17,46,45,101,77,224,276,51,80,92,19,3,37.5,37
"E01006643",2011,"Liverpool 025E","Total",1822,152,73,51,159,30,55,54,123,145,415,304,77,102,67,11,4,33.7,32
"E01006644",2011,"Liverpool 017D","Total",2040,139,53,44,129,32,56,52,141,185,479,361,100,133,110,20,6,37.1,35
"E01006645",2011,"Liverpool 017E","Total",1424,81,49,21,92,20,38,54,101,88,229,285,62,136,142,14,12,40.9,41
"E01006646",2011,"Liverpool 023C","Total",1899,78,54,36,81,17,42,46,212,270,434,311,104,124,84,4,2,36.6,32
"E01006647",2011,"Liverpool 024C","Total",1422,88,58,49,133,23,52,32,89,75,262,251,98,141,50,18,3,37.1,36
"E01006648",2011,"Liverpool 023D","Total",2175,87,45,28,89,31,45,50,346,313,398,370,102,156,93,16,6,36.7,31
"E01006651",2011,"Liverpool 001A","Total",1642,127,84,42,112,29,48,40,103,108,424,375,58,58,26,4,4,33.7,35
"E01006652",2011,"Liverpool 002A","Total",1505,101,53,24,89,27,30,34,102,131,316,308,81,116,75,13,5,37.9,37
"E01006653",2011,"Liverpool 001B","Total",1520,106,62,33,90,18,30,27,103,118,306,308,86,122,94,14,3,38.5,39
"E01006654",2011,"Liverpool 005A","Total",1513,91,47,38,80,21,24,42,113,89,306,332,77,97,102,34,20,40.5,41
