"lsoa11cd","date","lsoa11nm","Rural Urban","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E01006798",2011,"Liverpool 051D","Total",1410,1332,0,12,11,55
"E01006799",2011,"Liverpool 051E","Total",1821,1745,5,7,22,42
"E01006800",2011,"Liverpool 046C","Total",1401,1302,5,8,17,69
"E01006801",2011,"Liverpool 046D","Total",1355,1286,0,1,5,63
"E01032505",2011,"Liverpool 050F","Total",1317,1194,13,24,23,63
"E01032506",2011,"Liverpool 050G","Total",1403,1291,11,38,29,34
"E01032507",2011,"Liverpool 050H","Total",1539,1438,23,15,20,43
"E01032508",2011,"Liverpool 027G","Total",1723,1570,25,25,49,54
"E01032509",2011,"Liverpool 027H","Total",1434,1344,19,25,20,26
"E01032510",2011,"Liverpool 008F","Total",1809,1718,5,34,34,18
"E01032511",2011,"Liverpool 008G","Total",1378,1328,7,10,13,20
"E01033747",2011,"Liverpool 018F","Total",1043,944,14,13,42,30
"E01033748",2011,"Liverpool 050I","Total",1277,1077,36,54,52,58
"E01033749",2011,"Liverpool 042F","Total",1153,963,98,29,18,45
"E01033750",2011,"Liverpool 061A","Total",1448,1147,103,51,83,64
"E01033751",2011,"Liverpool 062A","Total",1873,1579,106,67,50,71
"E01033752",2011,"Liverpool 062B","Total",1196,877,104,111,55,49
"E01033753",2011,"Liverpool 062C","Total",1051,746,112,96,50,47
"E01033754",2011,"Liverpool 061B","Total",1452,1135,120,75,43,79
"E01033755",2011,"Liverpool 062D","Total",1082,781,93,105,55,48
"E01033756",2011,"Liverpool 061C","Total",1185,750,201,123,54,57
"E01033757",2011,"Liverpool 037E","Total",1025,670,204,45,55,51
"E01033758",2011,"Liverpool 060B","Total",1730,984,474,162,63,47
"E01033759",2011,"Liverpool 010F","Total",1147,1077,8,16,21,25
"E01033760",2011,"Liverpool 060C","Total",2115,1487,392,145,48,43
"E01033761",2011,"Liverpool 060D","Total",1372,971,147,126,70,58
"E01033762",2011,"Liverpool 060E","Total",1791,1436,157,93,51,54
"E01033763",2011,"Liverpool 031G","Total",1527,1227,66,74,81,79
"E01033764",2011,"Liverpool 022E","Total",2202,2023,37,31,49,62
"E01033765",2011,"Liverpool 061D","Total",1351,1223,11,31,41,45
"E01033766",2011,"Liverpool 042G","Total",1075,997,28,9,6,35
"E01033767",2011,"Liverpool 050J","Total",1067,955,29,32,25,26
"E01033768",2011,"Liverpool 037F","Total",1223,979,56,39,44,105
