"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All households; measures: Value","Tenure: Owned; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other; measures: Value","Tenure: Private rented; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006531",2011,"Liverpool 055B","Total",674,555,344,211,2,81,9,72,29,26,3,7
"E01006532",2011,"Liverpool 047A","Total",617,559,309,250,0,25,0,25,30,24,6,3
"E01006533",2011,"Liverpool 055C","Total",614,445,251,194,2,112,14,98,47,44,3,8
"E01006534",2011,"Liverpool 054A","Total",649,427,182,245,0,172,38,134,45,43,2,5
"E01006535",2011,"Liverpool 054B","Total",656,452,200,252,1,147,34,113,39,31,8,17
"E01006536",2011,"Liverpool 054C","Total",815,477,203,274,1,240,66,174,84,74,10,13
"E01006537",2011,"Liverpool 055D","Total",964,566,245,321,3,83,7,76,307,296,11,5
"E01006538",2011,"Liverpool 055E","Total",527,429,204,225,2,31,13,18,60,53,7,5
"E01006539",2011,"Liverpool 047B","Total",601,522,283,239,1,8,1,7,68,61,7,2
"E01006540",2011,"Liverpool 024A","Total",771,183,81,102,2,290,17,273,282,259,23,14
"E01006541",2011,"Liverpool 015A","Total",803,435,203,232,1,221,49,172,134,123,11,12
"E01006542",2011,"Liverpool 018A","Total",583,278,123,155,2,142,0,142,155,146,9,6
"E01006543",2011,"Liverpool 015B","Total",509,419,183,236,1,27,3,24,58,50,8,4
"E01006544",2011,"Liverpool 015C","Total",738,225,102,123,1,328,33,295,171,161,10,13
"E01006545",2011,"Liverpool 019A","Total",646,397,175,222,0,18,8,10,220,209,11,11
"E01006546",2011,"Liverpool 019B","Total",583,305,152,153,2,30,7,23,237,231,6,9
"E01006547",2011,"Liverpool 019C","Total",718,265,146,119,5,110,10,100,329,318,11,9
"E01006548",2011,"Liverpool 019D","Total",759,342,173,169,0,93,5,88,306,288,18,18
"E01006549",2011,"Liverpool 043B","Total",949,129,64,65,7,240,21,219,561,557,4,12
"E01006550",2011,"Liverpool 038A","Total",483,168,76,92,4,37,0,37,272,259,13,2
"E01006551",2011,"Liverpool 048E","Total",751,99,51,48,4,520,10,510,118,111,7,10
"E01006552",2011,"Liverpool 039A","Total",869,167,90,77,18,372,20,352,301,284,17,11
"E01006553",2011,"Liverpool 042A","Total",642,263,109,154,3,45,1,44,326,301,25,5
"E01006554",2011,"Liverpool 048F","Total",649,223,92,131,1,107,3,104,316,306,10,2
"E01006556",2011,"Liverpool 039B","Total",1016,130,81,49,3,522,34,488,334,315,19,27
"E01006557",2011,"Liverpool 038B","Total",635,208,110,98,9,28,2,26,385,365,20,5
"E01006558",2011,"Liverpool 018B","Total",739,194,118,76,4,293,27,266,235,233,2,13
"E01006560",2011,"Liverpool 023A","Total",996,145,82,63,2,782,143,639,56,50,6,11
"E01006562",2011,"Liverpool 018E","Total",714,220,123,97,1,333,36,297,150,143,7,10
"E01006563",2011,"Liverpool 024B","Total",908,110,53,57,3,607,88,519,174,172,2,14
"E01006564",2011,"Liverpool 023B","Total",800,441,250,191,2,251,66,185,93,81,12,13
"E01006565",2011,"Liverpool 029A","Total",638,425,200,225,0,146,33,113,59,54,5,8
"E01006566",2011,"Liverpool 032A","Total",577,462,191,271,1,55,22,33,54,51,3,5
"E01006567",2011,"Liverpool 026A","Total",892,334,158,176,0,439,87,352,100,93,7,19
"E01006568",2011,"Liverpool 026B","Total",629,443,140,303,7,99,13,86,78,66,12,2
"E01006569",2011,"Liverpool 029B","Total",613,356,180,176,1,197,62,135,40,33,7,19
"E01006570",2011,"Liverpool 026C","Total",595,454,214,240,1,31,3,28,105,99,6,4
"E01006571",2011,"Liverpool 026D","Total",612,319,136,183,14,225,56,169,49,44,5,5
"E01006572",2011,"Liverpool 025A","Total",501,184,83,101,0,269,81,188,37,37,0,11
"E01006573",2011,"Liverpool 029C","Total",778,347,133,214,3,245,17,228,166,158,8,17
"E01006574",2011,"Liverpool 025B","Total",612,308,133,175,1,246,62,184,56,52,4,1
"E01006575",2011,"Liverpool 034A","Total",578,396,197,199,4,83,33,50,90,85,5,5
"E01006576",2011,"Liverpool 034B","Total",713,601,240,361,0,13,0,13,94,91,3,5
"E01006577",2011,"Liverpool 034C","Total",597,528,248,280,0,5,2,3,54,52,2,10
"E01006578",2011,"Liverpool 036A","Total",554,456,170,286,1,12,1,11,84,77,7,1
"E01006579",2011,"Liverpool 034D","Total",618,569,298,271,0,6,3,3,42,33,9,1
"E01006580",2011,"Liverpool 036B","Total",515,480,233,247,0,6,1,5,24,22,2,5
"E01006581",2011,"Liverpool 036C","Total",607,545,270,275,0,6,1,5,54,45,9,2
"E01006582",2011,"Liverpool 041A","Total",585,523,249,274,1,8,1,7,47,44,3,6
"E01006583",2011,"Liverpool 047C","Total",467,445,246,199,0,4,3,1,14,10,4,4
"E01006584",2011,"Liverpool 034E","Total",611,462,230,232,6,65,7,58,76,72,4,2
"E01006585",2011,"Liverpool 032B","Total",641,257,120,137,0,317,95,222,45,41,4,22
"E01006586",2011,"Liverpool 032C","Total",921,427,169,258,6,236,37,199,233,214,19,19
"E01006587",2011,"Liverpool 032D","Total",717,393,158,235,12,161,4,157,147,141,6,4
"E01006588",2011,"Liverpool 042C","Total",702,429,194,235,1,53,13,40,211,196,15,8
"E01006589",2011,"Liverpool 041B","Total",599,533,235,298,0,19,5,14,39,34,5,8
"E01006590",2011,"Liverpool 042D","Total",701,397,185,212,4,39,3,36,257,241,16,4
"E01006591",2011,"Liverpool 041C","Total",671,470,180,290,1,10,1,9,183,172,11,7
"E01006592",2011,"Liverpool 041D","Total",624,536,290,246,1,9,1,8,72,71,1,6
"E01006593",2011,"Liverpool 042E","Total",662,396,149,247,0,20,2,18,237,222,15,9
"E01006594",2011,"Liverpool 047D","Total",579,509,274,235,2,10,4,6,53,49,4,5
"E01006595",2011,"Liverpool 049B","Total",812,616,276,340,1,43,2,41,147,129,18,5
"E01006596",2011,"Liverpool 049C","Total",597,486,237,249,0,8,2,6,101,95,6,2
"E01006597",2011,"Liverpool 041E","Total",683,583,310,273,0,13,1,12,80,75,5,7
"E01006598",2011,"Liverpool 010A","Total",604,138,64,74,0,416,93,323,45,41,4,5
"E01006599",2011,"Liverpool 010B","Total",482,96,45,51,0,343,110,233,40,35,5,3
"E01006600",2011,"Liverpool 011A","Total",592,320,164,156,2,199,62,137,57,53,4,14
"E01006603",2011,"Liverpool 011B","Total",594,337,176,161,0,203,53,150,43,38,5,11
"E01006604",2011,"Liverpool 016A","Total",571,347,156,191,3,161,63,98,46,42,4,14
"E01006605",2011,"Liverpool 016B","Total",696,314,141,173,2,306,98,208,61,57,4,13
"E01006606",2011,"Liverpool 020A","Total",723,418,174,244,1,154,37,117,143,128,15,7
"E01006607",2011,"Liverpool 008A","Total",641,334,151,183,2,245,65,180,44,39,5,16
"E01006608",2011,"Liverpool 009A","Total",563,294,125,169,14,124,8,116,124,113,11,7
"E01006609",2011,"Liverpool 009B","Total",576,331,145,186,1,101,12,89,137,134,3,6
