"lsoa11cd","date","lsoa11nm","Rural Urban","Year Last Worked: All categories: Year last worked; measures: Value","Year Last Worked: In employment; measures: Value","Year Last Worked: Not in employment: Total; measures: Value","Year Last Worked: Last worked in 2011; measures: Value","Year Last Worked: Last worked in 2010; measures: Value","Year Last Worked: Last worked in 2009; measures: Value","Year Last Worked: Last worked in 2008; measures: Value","Year Last Worked: Last worked in 2007; measures: Value","Year Last Worked: Last worked in 2006; measures: Value","Year Last Worked: Last worked in 2001 - 2005; measures: Value","Year Last Worked: Last worked before 2001; measures: Value","Year Last Worked: Never worked; measures: Value"
"E01006679",2011,"Liverpool 039D","Total",1460,473,987,18,67,64,32,26,14,51,138,577
"E01006680",2011,"Liverpool 053B","Total",1182,793,389,8,49,24,22,9,14,56,122,85
"E01006681",2011,"Liverpool 054D","Total",1176,706,470,16,47,28,17,18,26,55,150,113
"E01006682",2011,"Liverpool 053C","Total",963,666,297,7,43,24,5,13,12,43,93,57
"E01006683",2011,"Liverpool 053D","Total",1118,749,369,11,51,31,16,18,15,44,110,73
"E01006684",2011,"Liverpool 056B","Total",1629,1193,436,21,49,36,24,18,24,66,126,72
"E01006685",2011,"Liverpool 056C","Total",1121,696,425,22,52,39,23,23,15,58,117,76
"E01006686",2011,"Liverpool 053E","Total",1060,674,386,21,50,34,22,11,12,46,103,87
"E01006687",2011,"Liverpool 056D","Total",1483,979,504,21,69,42,23,15,20,54,132,128
"E01006688",2011,"Liverpool 056E","Total",1174,766,408,14,48,35,23,14,19,55,128,72
"E01006689",2011,"Liverpool 049D","Total",1215,867,348,14,63,22,14,15,13,49,96,62
"E01006690",2011,"Liverpool 028A","Total",1227,620,607,31,77,57,25,33,18,59,125,182
"E01006691",2011,"Liverpool 030A","Total",1110,523,587,21,62,46,20,21,20,61,113,223
"E01006692",2011,"Liverpool 028B","Total",1644,828,816,23,81,61,37,21,24,97,207,265
"E01006693",2011,"Liverpool 024D","Total",1190,490,700,20,57,26,21,20,15,71,265,205
"E01006694",2011,"Liverpool 030B","Total",1392,715,677,29,120,45,28,11,22,68,127,227
"E01006695",2011,"Liverpool 028C","Total",1496,738,758,27,111,50,58,27,32,67,126,260
"E01006696",2011,"Liverpool 030C","Total",1286,630,656,23,73,43,32,22,17,56,156,234
"E01006697",2011,"Liverpool 030D","Total",1365,668,697,30,96,61,37,12,28,60,133,240
"E01006698",2011,"Liverpool 012D","Total",1244,750,494,20,55,32,35,22,11,58,141,120
"E01006699",2011,"Liverpool 014A","Total",1186,509,677,27,70,51,36,12,17,64,193,207
"E01006700",2011,"Liverpool 012E","Total",1085,539,546,10,51,41,31,25,12,65,151,160
"E01006701",2011,"Liverpool 014B","Total",1111,599,512,13,40,39,13,23,13,58,191,122
"E01006702",2011,"Liverpool 014C","Total",1179,542,637,12,52,27,32,25,27,65,174,223
"E01006703",2011,"Liverpool 014D","Total",1210,522,688,17,48,37,22,25,14,77,244,204
"E01006705",2011,"Liverpool 009E","Total",1106,635,471,15,74,31,31,20,16,42,128,114
"E01006706",2011,"Liverpool 045A","Total",1010,445,565,7,49,27,25,17,12,57,211,160
"E01006707",2011,"Liverpool 045B","Total",935,418,517,8,34,26,16,19,11,49,213,141
"E01006708",2011,"Liverpool 045C","Total",1257,738,519,10,43,29,17,26,11,43,179,161
"E01006709",2011,"Liverpool 040A","Total",1064,599,465,9,50,15,23,11,9,61,169,118
"E01006710",2011,"Liverpool 045D","Total",1139,668,471,12,51,34,27,25,11,68,135,108
"E01006711",2011,"Liverpool 027A","Total",1138,610,528,16,69,48,29,19,16,60,135,136
"E01006712",2011,"Liverpool 029D","Total",949,581,368,11,52,19,20,21,12,47,102,84
"E01006713",2011,"Liverpool 029E","Total",994,650,344,6,47,20,30,7,19,36,112,67
"E01006716",2011,"Liverpool 032E","Total",1117,643,474,13,43,30,32,23,20,40,125,148
"E01006717",2011,"Liverpool 027D","Total",1057,708,349,15,50,32,18,13,12,45,85,79
"E01006718",2011,"Liverpool 027E","Total",1207,717,490,9,45,37,24,22,22,53,150,128
"E01006719",2011,"Liverpool 027F","Total",1109,701,408,10,41,27,25,19,12,55,108,111
"E01006720",2011,"Liverpool 035A","Total",1604,771,833,37,178,67,59,25,11,58,86,312
