"lsoa11cd","date","lsoa11nm","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01006766",2011,"Liverpool 019E","Total",968,362,224,138,606,402,16,31,100,57
"E01006767",2011,"Liverpool 019F","Total",1385,544,346,198,841,585,34,46,103,73
"E01006768",2011,"Liverpool 020F","Total",1149,520,424,96,629,469,10,36,70,44
"E01006769",2011,"Liverpool 040B","Total",1059,348,244,104,711,376,11,39,126,159
"E01006770",2011,"Liverpool 040C","Total",808,330,242,88,478,288,9,17,87,77
"E01006771",2011,"Liverpool 040D","Total",1172,412,294,118,760,442,3,41,138,136
"E01006772",2011,"Liverpool 040E","Total",908,448,384,64,460,278,3,23,77,79
"E01006773",2011,"Liverpool 036D","Total",1137,700,584,116,437,291,12,17,54,63
"E01006774",2011,"Liverpool 036E","Total",1170,696,620,76,474,318,9,19,72,56
"E01006775",2011,"Liverpool 040F","Total",1075,414,334,80,661,417,8,34,101,101
"E01006776",2011,"Liverpool 022B","Total",1402,536,394,142,866,567,14,55,129,101
"E01006778",2011,"Liverpool 014E","Total",1864,524,346,178,1340,875,37,65,230,133
"E01006779",2011,"Liverpool 022D","Total",1557,454,328,126,1103,737,24,61,147,134
"E01006780",2011,"Liverpool 002D","Total",1196,623,468,155,573,382,9,33,76,73
"E01006781",2011,"Liverpool 003A","Total",1222,716,576,140,506,344,11,19,76,56
"E01006782",2011,"Liverpool 003B","Total",1261,586,454,132,675,460,12,28,100,75
"E01006783",2011,"Liverpool 002E","Total",1213,608,468,140,605,402,17,35,77,74
"E01006784",2011,"Liverpool 003C","Total",1085,560,410,150,525,357,7,27,68,66
"E01006785",2011,"Liverpool 003D","Total",1438,677,484,193,761,508,14,39,105,95
"E01006786",2011,"Liverpool 003E","Total",1458,848,650,198,610,395,8,24,104,79
"E01006787",2011,"Liverpool 006A","Total",1240,462,366,96,778,564,25,51,92,46
"E01006788",2011,"Liverpool 006B","Total",1404,725,554,171,679,473,18,29,75,84
