"lsoa11cd","date","lsoa11nm","Rural Urban","Second Address: Any address; measures: Value","Second Address: No second address; measures: Value","Second Address: Second address (total); measures: Value","Second Address: Second address within the UK; measures: Value","Second Address: Second address outside the UK; measures: Value"
"E01006754",2011,"Liverpool 059B","Total",1627,1581,46,22,24
"E01006755",2011,"Liverpool 059C","Total",1587,1567,20,17,3
"E01006756",2011,"Liverpool 059D","Total",1820,1783,37,34,3
"E01006757",2011,"Liverpool 059E","Total",1491,1469,22,21,1
"E01006758",2011,"Liverpool 059F","Total",1527,1500,27,26,1
"E01006759",2011,"Liverpool 028D","Total",1095,1054,41,32,9
"E01006760",2011,"Liverpool 028E","Total",1611,1488,123,99,24
"E01006761",2011,"Liverpool 020B","Total",1644,1605,39,34,5
"E01006762",2011,"Liverpool 015E","Total",1692,1671,21,20,1
"E01006763",2011,"Liverpool 020C","Total",1471,1451,20,19,1
"E01006764",2011,"Liverpool 020D","Total",1522,1472,50,47,3
"E01006765",2011,"Liverpool 020E","Total",1468,1447,21,13,8
"E01006766",2011,"Liverpool 019E","Total",1266,1228,38,28,10
"E01006767",2011,"Liverpool 019F","Total",1787,1695,92,72,20
"E01006768",2011,"Liverpool 020F","Total",1359,1308,51,42,9
"E01006769",2011,"Liverpool 040B","Total",1270,1246,24,21,3
"E01006770",2011,"Liverpool 040C","Total",1002,979,23,15,8
"E01006771",2011,"Liverpool 040D","Total",1425,1401,24,23,1
"E01006772",2011,"Liverpool 040E","Total",1091,1064,27,23,4
"E01006773",2011,"Liverpool 036D","Total",1379,1348,31,26,5
"E01006774",2011,"Liverpool 036E","Total",1445,1406,39,36,3
"E01006775",2011,"Liverpool 040F","Total",1319,1293,26,25,1
"E01006776",2011,"Liverpool 022B","Total",1677,1631,46,30,16
"E01006778",2011,"Liverpool 014E","Total",2205,2146,59,48,11
"E01006779",2011,"Liverpool 022D","Total",1968,1938,30,27,3
"E01006780",2011,"Liverpool 002D","Total",1465,1437,28,19,9
"E01006781",2011,"Liverpool 003A","Total",1470,1440,30,20,10
"E01006782",2011,"Liverpool 003B","Total",1560,1527,33,28,5
"E01006783",2011,"Liverpool 002E","Total",1548,1506,42,35,7
"E01006784",2011,"Liverpool 003C","Total",1347,1314,33,26,7
"E01006785",2011,"Liverpool 003D","Total",1769,1721,48,32,16
"E01006786",2011,"Liverpool 003E","Total",1820,1778,42,33,9
"E01006787",2011,"Liverpool 006A","Total",2330,2192,138,120,18
"E01006788",2011,"Liverpool 006B","Total",1825,1781,44,28,16
"E01006790",2011,"Liverpool 006C","Total",1587,1556,31,31,0
"E01006791",2011,"Liverpool 006D","Total",1674,1644,30,26,4
"E01006792",2011,"Liverpool 046A","Total",1368,1310,58,29,29
"E01006793",2011,"Liverpool 051A","Total",1494,1408,86,57,29
"E01006794",2011,"Liverpool 046B","Total",1593,1504,89,55,34
"E01006795",2011,"Liverpool 051B","Total",1407,1354,53,35,18
"E01006796",2011,"Liverpool 047E","Total",1591,1465,126,56,70
"E01006797",2011,"Liverpool 051C","Total",1499,1470,29,18,11
"E01006798",2011,"Liverpool 051D","Total",1410,1365,45,32,13
"E01006799",2011,"Liverpool 051E","Total",1821,1773,48,34,14
"E01006800",2011,"Liverpool 046C","Total",1401,1358,43,34,9
"E01006801",2011,"Liverpool 046D","Total",1355,1320,35,24,11
"E01032505",2011,"Liverpool 050F","Total",1317,1264,53,37,16
"E01032506",2011,"Liverpool 050G","Total",1403,1341,62,54,8
"E01032507",2011,"Liverpool 050H","Total",1539,1441,98,84,14
"E01032508",2011,"Liverpool 027G","Total",1723,1664,59,46,13
"E01032509",2011,"Liverpool 027H","Total",1434,1400,34,32,2
"E01032510",2011,"Liverpool 008F","Total",1809,1766,43,40,3
"E01032511",2011,"Liverpool 008G","Total",1378,1355,23,20,3
"E01033747",2011,"Liverpool 018F","Total",1043,1003,40,30,10
"E01033748",2011,"Liverpool 050I","Total",1277,1127,150,130,20
"E01033749",2011,"Liverpool 042F","Total",1153,237,916,842,74
"E01033750",2011,"Liverpool 061A","Total",1448,1204,244,168,76
"E01033751",2011,"Liverpool 062A","Total",1873,1036,837,725,112
"E01033752",2011,"Liverpool 062B","Total",1196,949,247,158,89
"E01033753",2011,"Liverpool 062C","Total",1051,852,199,96,103
"E01033754",2011,"Liverpool 061B","Total",1452,1222,230,165,65
"E01033755",2011,"Liverpool 062D","Total",1082,836,246,166,80
"E01033756",2011,"Liverpool 061C","Total",1185,818,367,220,147
"E01033757",2011,"Liverpool 037E","Total",1025,593,432,308,124
"E01033758",2011,"Liverpool 060B","Total",1730,806,924,660,264
"E01033759",2011,"Liverpool 010F","Total",1147,1125,22,16,6
"E01033760",2011,"Liverpool 060C","Total",2115,714,1401,1127,274
"E01033761",2011,"Liverpool 060D","Total",1372,1004,368,265,103
"E01033762",2011,"Liverpool 060E","Total",1791,676,1115,1011,104
"E01033763",2011,"Liverpool 031G","Total",1527,1318,209,179,30
"E01033764",2011,"Liverpool 022E","Total",2202,2158,44,36,8
"E01033765",2011,"Liverpool 061D","Total",1351,1284,67,44,23
"E01033766",2011,"Liverpool 042G","Total",1075,827,248,235,13
"E01033767",2011,"Liverpool 050J","Total",1067,1045,22,17,5
"E01033768",2011,"Liverpool 037F","Total",1223,1072,151,121,30
