"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: count of Household; All households; measures: Value","Household Composition: No adults in employment in household; measures: Value","Household Composition: No adults in employment in household: With dependent children; measures: Value","Household Composition: No adults in employment in household: No dependent children; measures: Value","Household Composition: Dependent children in household: All ages; measures: Value","Household Composition: Dependent children in household: Age 0 to 4; measures: Value","Household Composition: One person in household with a long-term health problem or disability; measures: Value","Household Composition: One person in household with a long-term health problem or disability: With dependent children; measures: Value","Household Composition: One person in household with a long-term health problem or disability: No dependent children; measures: Value"
"E01006608",2011,"Liverpool 009A","Total",563,227,33,194,155,69,172,30,142
"E01006609",2011,"Liverpool 009B","Total",576,230,47,183,172,68,180,38,142
"E01006610",2011,"Liverpool 009C","Total",669,329,72,257,195,71,278,56,222
"E01006611",2011,"Liverpool 012A","Total",742,384,79,305,179,86,260,30,230
"E01006612",2011,"Liverpool 008B","Total",740,399,59,340,180,66,305,44,261
"E01006613",2011,"Liverpool 009D","Total",611,328,45,283,151,57,261,27,234
"E01006614",2011,"Liverpool 012B","Total",667,304,71,233,166,73,186,28,158
"E01006615",2011,"Liverpool 012C","Total",663,279,68,211,195,84,189,32,157
"E01006616",2011,"Liverpool 015D","Total",613,267,39,228,168,52,216,38,178
"E01006617",2011,"Liverpool 021A","Total",650,185,16,169,170,53,158,21,137
"E01006618",2011,"Liverpool 016C","Total",692,302,37,265,177,51,256,39,217
"E01006619",2011,"Liverpool 021B","Total",734,261,24,237,191,69,208,29,179
"E01006620",2011,"Liverpool 021C","Total",625,302,19,283,146,43,205,15,190
"E01006621",2011,"Liverpool 021D","Total",584,212,11,201,156,46,159,23,136
"E01006622",2011,"Liverpool 021E","Total",586,178,8,170,182,56,152,19,133
"E01006623",2011,"Liverpool 013A","Total",527,133,10,123,175,41,140,27,113
"E01006624",2011,"Liverpool 013B","Total",702,282,35,247,188,73,223,31,192
"E01006625",2011,"Liverpool 016D","Total",609,226,18,208,179,50,195,23,172
"E01006626",2011,"Liverpool 016E","Total",593,221,12,209,161,43,199,33,166
"E01006627",2011,"Liverpool 013C","Total",600,217,14,203,167,55,187,26,161
"E01006628",2011,"Liverpool 052D","Total",651,188,22,166,167,66,170,25,145
"E01006629",2011,"Liverpool 052E","Total",573,214,17,197,118,38,189,24,165
"E01006630",2011,"Liverpool 044B","Total",555,285,84,201,219,71,233,65,168
"E01006632",2011,"Liverpool 044C","Total",884,434,96,338,247,105,331,70,261
"E01006633",2011,"Liverpool 050B","Total",699,415,67,348,190,71,324,53,271
"E01006637",2011,"Liverpool 017A","Total",670,320,111,209,277,127,227,47,180
"E01006638",2011,"Liverpool 017B","Total",518,270,80,190,199,91,208,41,167
"E01006639",2011,"Liverpool 017C","Total",640,217,44,173,228,97,178,42,136
"E01006640",2011,"Liverpool 021F","Total",760,259,30,229,249,103,231,42,189
"E01006641",2011,"Liverpool 025C","Total",633,84,26,58,295,168,115,44,71
"E01006642",2011,"Liverpool 025D","Total",590,286,74,212,198,68,246,53,193
"E01006643",2011,"Liverpool 025E","Total",740,293,102,191,308,123,256,91,165
"E01006644",2011,"Liverpool 017D","Total",963,418,73,345,281,116,338,66,272
"E01006645",2011,"Liverpool 017E","Total",690,396,84,312,195,68,294,53,241
"E01006646",2011,"Liverpool 023C","Total",1006,476,80,396,199,67,314,55,259
"E01006647",2011,"Liverpool 024C","Total",636,398,111,287,227,75,292,62,230
"E01006648",2011,"Liverpool 023D","Total",1075,458,80,378,200,74,349,47,302
"E01006651",2011,"Liverpool 001A","Total",592,88,19,69,279,104,117,40,77
"E01006652",2011,"Liverpool 002A","Total",633,197,32,165,201,79,180,33,147
