"lsoa11cd","date","lsoa11nm","Rural Urban","Country of Birth: All usual residents; measures: Value","Country of Birth: United Kingdom; measures: Value","Country of Birth: England; measures: Value","Country of Birth: Northern Ireland; measures: Value","Country of Birth: Scotland; measures: Value","Country of Birth: Wales; measures: Value","Country of Birth: United Kingdom not otherwise specified; measures: Value","Country of Birth: Ireland; measures: Value","Country of Birth: Other EU; measures: Value","Country of Birth: Other EU: Member countries in March 2001; measures: Value","Country of Birth: Other EU: Accession countries April 2001 to March 2011; measures: Value","Country of Birth: Other countries; measures: Value"
"E01006720",2011,"Liverpool 035A","Total",2108,1386,1264,76,16,30,0,20,248,29,219,454
"E01006721",2011,"Liverpool 038C","Total",1655,1402,1335,43,8,16,0,19,46,12,34,188
"E01006722",2011,"Liverpool 038D","Total",1793,1425,1286,79,5,55,0,20,55,19,36,293
"E01006723",2011,"Liverpool 038E","Total",1875,1543,1382,104,14,39,4,23,75,28,47,234
"E01006724",2011,"Liverpool 038F","Total",1790,1569,1428,79,8,52,2,22,38,33,5,161
"E01006725",2011,"Liverpool 035B","Total",1537,1395,1321,42,13,19,0,19,28,8,20,95
"E01006726",2011,"Liverpool 035C","Total",1565,1262,1154,65,18,25,0,18,73,23,50,212
"E01006727",2011,"Liverpool 035D","Total",1441,1286,1243,15,16,12,0,17,43,20,23,95
"E01006728",2011,"Liverpool 035E","Total",1623,1430,1372,25,15,17,1,7,51,10,41,135
"E01006729",2011,"Liverpool 008C","Total",1400,1349,1342,0,1,6,0,7,15,4,11,29
"E01006730",2011,"Liverpool 011C","Total",1326,1285,1276,2,2,5,0,2,14,2,12,25
"E01006731",2011,"Liverpool 011D","Total",1196,1138,1126,4,2,6,0,4,18,2,16,36
"E01006732",2011,"Liverpool 011E","Total",1643,1578,1558,1,10,9,0,3,33,10,23,29
"E01006734",2011,"Liverpool 005C","Total",1412,1311,1303,1,2,5,0,3,57,7,50,41
"E01006735",2011,"Liverpool 005D","Total",1309,1254,1247,0,2,5,0,2,6,3,3,47
"E01006736",2011,"Liverpool 005E","Total",1460,1382,1371,5,3,3,0,1,39,10,29,38
"E01006737",2011,"Liverpool 005F","Total",1435,1389,1379,4,1,5,0,6,8,5,3,32
"E01006738",2011,"Liverpool 058A","Total",1501,1474,1461,3,3,7,0,5,4,3,1,18
"E01006739",2011,"Liverpool 058B","Total",1769,1696,1672,3,13,8,0,10,19,9,10,44
"E01006740",2011,"Liverpool 057A","Total",1280,1147,1130,4,4,9,0,9,70,3,67,54
"E01006741",2011,"Liverpool 058C","Total",1815,1769,1755,3,5,6,0,9,16,4,12,21
"E01006742",2011,"Liverpool 057B","Total",1394,1348,1318,9,11,10,0,8,22,6,16,16
"E01006743",2011,"Liverpool 058D","Total",2175,1996,1955,16,15,10,0,17,87,21,66,75
"E01006744",2011,"Liverpool 057C","Total",1482,1413,1376,11,15,11,0,11,33,7,26,25
"E01006745",2011,"Liverpool 057D","Total",1879,1741,1694,9,18,20,0,11,85,12,73,42
"E01006746",2011,"Liverpool 030E","Total",1513,1266,1212,30,11,13,0,13,38,10,28,196
"E01006747",2011,"Liverpool 031B","Total",3552,2361,2039,215,21,86,0,27,138,64,74,1026
"E01006748",2011,"Liverpool 031C","Total",1936,1450,1320,70,10,50,0,20,80,28,52,386
"E01006751",2011,"Liverpool 031F","Total",2572,1737,1656,40,10,29,2,19,72,27,45,744
"E01006752",2011,"Liverpool 035F","Total",1012,725,692,16,11,6,0,14,43,10,33,230
"E01006753",2011,"Liverpool 059A","Total",1557,1511,1500,1,6,4,0,3,16,3,13,27
"E01006754",2011,"Liverpool 059B","Total",1627,1472,1444,6,19,3,0,22,115,3,112,18
"E01006755",2011,"Liverpool 059C","Total",1587,1505,1488,3,7,7,0,4,28,3,25,50
"E01006756",2011,"Liverpool 059D","Total",1820,1667,1646,1,12,8,0,8,93,30,63,52
"E01006757",2011,"Liverpool 059E","Total",1491,1423,1411,5,3,4,0,8,41,6,35,19
"E01006758",2011,"Liverpool 059F","Total",1527,1456,1438,3,7,8,0,6,23,4,19,42
"E01006759",2011,"Liverpool 028D","Total",1095,982,964,2,8,8,0,6,44,23,21,63
"E01006760",2011,"Liverpool 028E","Total",1611,1315,1265,22,10,18,0,26,105,20,85,165
"E01006761",2011,"Liverpool 020B","Total",1644,1493,1457,8,18,8,2,17,34,15,19,100
"E01006762",2011,"Liverpool 015E","Total",1692,1627,1612,2,6,7,0,4,17,7,10,44
"E01006763",2011,"Liverpool 020C","Total",1471,1432,1412,2,8,10,0,5,1,0,1,33
"E01006764",2011,"Liverpool 020D","Total",1522,1372,1331,12,20,9,0,4,45,10,35,101
"E01006765",2011,"Liverpool 020E","Total",1468,1406,1392,2,6,6,0,6,24,4,20,32
"E01006766",2011,"Liverpool 019E","Total",1266,1115,1096,7,5,7,0,10,42,3,39,99
"E01006767",2011,"Liverpool 019F","Total",1787,1616,1583,11,10,12,0,9,46,7,39,116
"E01006768",2011,"Liverpool 020F","Total",1359,1221,1180,4,18,19,0,13,36,2,34,89
"E01006769",2011,"Liverpool 040B","Total",1270,1212,1183,3,12,14,0,7,10,7,3,41
"E01006770",2011,"Liverpool 040C","Total",1002,969,961,1,2,5,0,4,4,4,0,25
"E01006771",2011,"Liverpool 040D","Total",1425,1385,1363,6,9,7,0,9,9,2,7,22
"E01006772",2011,"Liverpool 040E","Total",1091,1044,1023,4,10,7,0,5,8,6,2,34
"E01006773",2011,"Liverpool 036D","Total",1379,1328,1315,0,4,9,0,6,14,12,2,31
"E01006774",2011,"Liverpool 036E","Total",1445,1325,1294,10,11,10,0,4,11,7,4,105
"E01006775",2011,"Liverpool 040F","Total",1319,1275,1247,11,6,11,0,14,5,1,4,25
"E01006776",2011,"Liverpool 022B","Total",1677,1579,1546,8,11,14,0,15,29,19,10,54
"E01006778",2011,"Liverpool 014E","Total",2205,2019,1974,7,24,14,0,11,73,15,58,102
"E01006779",2011,"Liverpool 022D","Total",1968,1891,1869,6,10,5,1,7,45,11,34,25
"E01006780",2011,"Liverpool 002D","Total",1465,1419,1389,11,11,8,0,13,10,2,8,23
"E01006781",2011,"Liverpool 003A","Total",1470,1436,1416,5,7,8,0,7,9,3,6,18
"E01006782",2011,"Liverpool 003B","Total",1560,1502,1479,6,7,10,0,14,17,8,9,27
"E01006783",2011,"Liverpool 002E","Total",1548,1498,1471,8,11,8,0,3,14,7,7,33
"E01006784",2011,"Liverpool 003C","Total",1347,1303,1288,5,6,4,0,10,11,9,2,23
"E01006785",2011,"Liverpool 003D","Total",1769,1669,1640,8,12,9,0,22,23,9,14,55
"E01006786",2011,"Liverpool 003E","Total",1820,1764,1737,5,12,10,0,6,22,18,4,28
"E01006787",2011,"Liverpool 006A","Total",2330,2099,2040,8,18,33,0,19,68,15,53,144
"E01006788",2011,"Liverpool 006B","Total",1825,1759,1729,7,7,12,4,3,23,15,8,40
