"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"E01006609",2011,"Liverpool 009B","Total",576,31,545,26,21,2.2,5.6,3
"E01006610",2011,"Liverpool 009C","Total",669,51,618,50,30,2.1,4.9,2.5
"E01006611",2011,"Liverpool 012A","Total",742,90,652,56,32,1.7,4.4,2.2
"E01006612",2011,"Liverpool 008B","Total",740,17,723,49,38,2,4.7,2.5
"E01006613",2011,"Liverpool 009D","Total",611,29,582,25,25,2.2,5.2,2.7
"E01006614",2011,"Liverpool 012B","Total",667,74,593,52,23,2,4.8,2.4
"E01006615",2011,"Liverpool 012C","Total",663,54,609,48,27,2,4.7,2.4
"E01006616",2011,"Liverpool 015D","Total",613,30,583,40,31,2.3,5.2,2.8
"E01006617",2011,"Liverpool 021A","Total",650,16,634,24,6,2.2,5.6,2.8
"E01006618",2011,"Liverpool 016C","Total",692,46,646,29,28,2.4,5.6,2.9
"E01006619",2011,"Liverpool 021B","Total",734,44,690,26,15,2.2,5.6,2.8
"E01006620",2011,"Liverpool 021C","Total",625,19,606,30,22,2.3,5.4,2.7
"E01006621",2011,"Liverpool 021D","Total",584,17,567,21,17,2.5,6.5,3.2
"E01006622",2011,"Liverpool 021E","Total",586,15,571,7,6,2.6,6.3,3.2
"E01006623",2011,"Liverpool 013A","Total",527,5,522,16,19,2.8,6.7,3.5
"E01006624",2011,"Liverpool 013B","Total",702,34,668,55,38,2.2,5.3,2.8
"E01006625",2011,"Liverpool 016D","Total",609,28,581,19,14,2.3,5.6,2.9
"E01006626",2011,"Liverpool 016E","Total",593,23,570,18,10,2.4,5.9,3
"E01006627",2011,"Liverpool 013C","Total",600,32,568,17,13,2.3,5.7,2.9
"E01006628",2011,"Liverpool 052D","Total",651,32,619,25,23,2.3,6,3.1
"E01006629",2011,"Liverpool 052E","Total",573,13,560,43,29,2.2,5.4,2.7
"E01006630",2011,"Liverpool 044B","Total",555,1,554,83,58,2.4,4.6,2.5
"E01006632",2011,"Liverpool 044C","Total",884,30,854,138,76,2.1,4.5,2.4
"E01006633",2011,"Liverpool 050B","Total",699,38,661,70,46,2,4.5,2.4
"E01006637",2011,"Liverpool 017A","Total",670,9,661,54,39,2.4,4.9,2.8
"E01006638",2011,"Liverpool 017B","Total",518,11,507,34,25,2.4,4.9,2.8
"E01006639",2011,"Liverpool 017C","Total",640,15,625,27,26,2.4,5.3,2.8
"E01006640",2011,"Liverpool 021F","Total",760,20,740,22,18,2.5,6,3.1
"E01006641",2011,"Liverpool 025C","Total",633,15,618,21,19,2.6,5.3,2.7
"E01006642",2011,"Liverpool 025D","Total",590,20,570,54,33,2.2,4.9,2.7
"E01006643",2011,"Liverpool 025E","Total",740,25,715,53,37,2.5,5,2.8
"E01006644",2011,"Liverpool 017D","Total",963,29,934,86,38,2.1,4.9,2.5
"E01006645",2011,"Liverpool 017E","Total",690,7,683,59,38,2.1,4.8,2.6
"E01006646",2011,"Liverpool 023C","Total",1006,37,969,242,69,1.9,4,2.2
"E01006647",2011,"Liverpool 024C","Total",636,4,632,61,40,2.2,4.8,2.6
"E01006648",2011,"Liverpool 023D","Total",1075,25,1050,249,72,2,4.2,2.3
"E01006651",2011,"Liverpool 001A","Total",592,3,589,8,9,2.8,6.1,3.1
"E01006652",2011,"Liverpool 002A","Total",633,47,586,21,20,2.4,5.8,3
"E01006653",2011,"Liverpool 001B","Total",656,21,635,36,25,2.3,5.3,2.8
"E01006654",2011,"Liverpool 005A","Total",627,40,587,46,19,2.3,5.5,2.7
"E01006655",2011,"Liverpool 001C","Total",706,47,659,26,28,2.5,5.5,3
"E01006656",2011,"Liverpool 002B","Total",669,66,603,29,26,2.2,5.4,2.8
"E01006657",2011,"Liverpool 002C","Total",582,53,529,34,16,2.1,4.9,2.5
"E01006658",2011,"Liverpool 001D","Total",634,10,624,39,29,2.1,4.8,2.6
"E01006659",2011,"Liverpool 005B","Total",548,18,530,41,16,2,4.8,2.4
"E01006660",2011,"Liverpool 001E","Total",616,27,589,27,21,2.3,5.3,2.8
"E01006661",2011,"Liverpool 004A","Total",749,30,719,43,34,2.2,5,2.6
"E01006662",2011,"Liverpool 004B","Total",785,26,759,40,24,2.1,4.8,2.5
"E01006663",2011,"Liverpool 004C","Total",510,16,494,19,15,2.3,5.1,2.6
"E01006664",2011,"Liverpool 004D","Total",822,44,778,61,25,2.2,4.9,2.6
"E01006665",2011,"Liverpool 007A","Total",630,20,610,23,16,2.5,5.6,2.9
"E01006666",2011,"Liverpool 007B","Total",514,5,509,8,10,2.9,6.6,3.4
"E01006667",2011,"Liverpool 007C","Total",618,31,587,19,16,2.3,5.3,2.7
"E01006668",2011,"Liverpool 007D","Total",590,9,581,12,6,2.6,5.6,3
"E01006669",2011,"Liverpool 004E","Total",551,4,547,14,14,2.7,6,3.2
"E01006670",2011,"Liverpool 007E","Total",607,22,585,20,12,2.5,5.8,3
"E01006671",2011,"Liverpool 013D","Total",499,9,490,22,18,2.7,6.3,3.4
"E01006672",2011,"Liverpool 010E","Total",798,23,775,65,27,2.4,5.1,2.9
"E01006673",2011,"Liverpool 037D","Total",954,36,918,199,71,2,4.2,2.1
"E01006674",2011,"Liverpool 039C","Total",826,32,794,161,84,2.3,4.3,2.3
"E01006675",2011,"Liverpool 043C","Total",1132,69,1063,264,54,1.5,3.7,1.7
"E01006676",2011,"Liverpool 044D","Total",761,26,735,110,72,2.3,4.7,2.4
"E01006677",2011,"Liverpool 043D","Total",477,25,452,50,37,2.1,4.6,2.3
"E01006678",2011,"Liverpool 044E","Total",1059,21,1038,148,79,2,4.4,2.3
"E01006679",2011,"Liverpool 039D","Total",920,23,897,240,108,2.4,4.3,2.3
"E01006680",2011,"Liverpool 053B","Total",605,17,588,9,8,2.6,6.6,3.3
"E01006681",2011,"Liverpool 054D","Total",719,23,696,36,20,2.2,5.6,2.8
"E01006682",2011,"Liverpool 053C","Total",498,10,488,3,4,2.6,6.8,3.3
"E01006683",2011,"Liverpool 053D","Total",594,17,577,9,10,2.5,6.5,3.2
"E01006684",2011,"Liverpool 056B","Total",999,25,974,32,9,2.1,5.8,3
"E01006685",2011,"Liverpool 056C","Total",604,28,576,14,12,2.4,6.3,3.2
"E01006686",2011,"Liverpool 053E","Total",531,11,520,8,12,2.7,6.6,3.3
"E01006687",2011,"Liverpool 056D","Total",933,14,919,60,19,2,6.1,3
"E01006688",2011,"Liverpool 056E","Total",712,28,684,36,11,2.1,5.7,2.8
"E01006689",2011,"Liverpool 049D","Total",717,23,694,24,12,2.3,5.8,2.9
"E01006690",2011,"Liverpool 028A","Total",801,57,744,132,50,1.8,4.3,2.2
"E01006691",2011,"Liverpool 030A","Total",647,64,583,103,64,2.3,4.9,2.5
"E01006692",2011,"Liverpool 028B","Total",989,87,902,99,59,2.2,5,2.6
"E01006693",2011,"Liverpool 024D","Total",838,61,777,102,38,1.8,4.3,2.2
"E01006694",2011,"Liverpool 030B","Total",891,112,779,113,68,2.1,4.6,2.4
"E01006695",2011,"Liverpool 028C","Total",1029,72,957,235,85,1.8,4.1,2
"E01006696",2011,"Liverpool 030C","Total",768,60,708,82,55,2.3,4.7,2.5
"E01006697",2011,"Liverpool 030D","Total",828,85,743,90,66,2.2,4.9,2.5
"E01006698",2011,"Liverpool 012D","Total",725,58,667,39,36,2.4,5.3,2.8
"E01006699",2011,"Liverpool 014A","Total",777,32,745,54,34,2,4.8,2.4
"E01006700",2011,"Liverpool 012E","Total",653,60,593,46,26,2.2,5,2.6
"E01006701",2011,"Liverpool 014B","Total",671,67,604,70,30,2.1,4.8,2.4
"E01006702",2011,"Liverpool 014C","Total",740,44,696,60,33,2.2,5,2.6
"E01006703",2011,"Liverpool 014D","Total",818,33,785,70,37,1.9,4.5,2.3
"E01006705",2011,"Liverpool 009E","Total",689,64,625,66,41,2,5,2.5
"E01006706",2011,"Liverpool 045A","Total",582,8,574,55,40,2.3,4.9,2.8
"E01006707",2011,"Liverpool 045B","Total",553,6,547,42,35,2.3,4.9,2.8
"E01006708",2011,"Liverpool 045C","Total",754,7,747,43,27,2.3,5.2,2.8
"E01006709",2011,"Liverpool 040A","Total",685,17,668,51,25,2.1,5.1,2.7
