"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All families in households; measures: Value","Family Type: No dependent children in family; measures: Value","Family Type: One dependent child in family aged 0 to 4; measures: Value","Family Type: One dependent child in family aged 5 to 11; measures: Value","Family Type: One dependent child in family aged 12 to 18; measures: Value","Family Type: Two dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Two dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Two dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Three or more dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Three or more dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Three or more dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Total dependent children; measures: Value"
"E01006762",2011,"Liverpool 015E","Total",500,267,25,33,61,31,29,18,20,14,2,399
"E01006763",2011,"Liverpool 020C","Total",422,213,42,25,44,24,27,13,18,15,1,362
"E01006764",2011,"Liverpool 020D","Total",387,181,43,19,41,21,30,18,15,18,1,375
"E01006765",2011,"Liverpool 020E","Total",413,216,21,29,49,19,24,23,13,16,3,339
"E01006766",2011,"Liverpool 019E","Total",329,132,39,23,44,29,14,16,18,13,1,334
"E01006767",2011,"Liverpool 019F","Total",444,190,53,24,46,44,22,20,35,10,0,448
"E01006768",2011,"Liverpool 020F","Total",328,191,16,14,37,13,17,19,9,11,1,249
"E01006769",2011,"Liverpool 040B","Total",302,160,22,26,30,16,10,13,16,9,0,241
"E01006770",2011,"Liverpool 040C","Total",279,144,20,19,30,24,14,11,12,5,0,225
"E01006771",2011,"Liverpool 040D","Total",399,212,26,21,52,24,21,11,22,6,4,315
"E01006772",2011,"Liverpool 040E","Total",316,194,15,19,29,10,16,12,13,7,1,206
"E01006773",2011,"Liverpool 036D","Total",436,256,25,24,47,27,30,11,8,7,1,282
"E01006774",2011,"Liverpool 036E","Total",428,227,24,17,57,26,34,22,9,10,2,331
"E01006775",2011,"Liverpool 040F","Total",393,244,19,17,40,17,13,13,15,13,2,271
"E01006776",2011,"Liverpool 022B","Total",432,251,36,21,54,16,20,11,13,8,2,286
"E01006778",2011,"Liverpool 014E","Total",564,294,65,45,56,31,24,22,10,13,4,417
"E01006779",2011,"Liverpool 022D","Total",537,272,46,33,67,33,30,18,24,12,2,443
"E01006780",2011,"Liverpool 002D","Total",421,234,39,17,30,22,28,28,12,9,2,318
"E01006781",2011,"Liverpool 003A","Total",437,247,38,23,51,19,30,13,5,10,1,292
"E01006782",2011,"Liverpool 003B","Total",410,213,37,26,37,34,30,11,9,12,1,326
"E01006783",2011,"Liverpool 002E","Total",434,216,29,28,47,32,37,12,20,10,3,387
"E01006784",2011,"Liverpool 003C","Total",377,201,33,20,27,35,25,21,11,3,1,299
"E01006785",2011,"Liverpool 003D","Total",485,261,49,31,35,26,29,23,18,13,0,382
"E01006786",2011,"Liverpool 003E","Total",522,294,32,30,52,24,31,19,22,17,1,410
"E01006787",2011,"Liverpool 006A","Total",331,141,28,27,36,18,26,21,20,12,2,343
"E01006788",2011,"Liverpool 006B","Total",530,254,37,23,68,54,36,15,26,14,3,478
"E01006790",2011,"Liverpool 006C","Total",427,188,51,39,57,40,16,14,12,7,3,366
