"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006657",2011,"Liverpool 002C","Total",582,236,71,165,323,24,130,43,57,30,61,28,27,6,108,70,38,23,9,0,2,12
"E01006658",2011,"Liverpool 001D","Total",634,254,84,170,339,35,99,36,36,27,55,23,25,7,150,97,53,41,15,0,5,21
"E01006659",2011,"Liverpool 005B","Total",548,264,77,187,254,17,91,22,44,25,42,20,18,4,104,69,35,30,11,0,1,18
"E01006660",2011,"Liverpool 001E","Total",616,226,97,129,352,32,177,33,98,46,48,15,29,4,95,58,37,38,13,0,6,19
"E01006661",2011,"Liverpool 004A","Total",749,269,123,146,423,56,151,46,60,45,55,18,32,5,161,99,62,57,24,0,2,31
"E01006662",2011,"Liverpool 004B","Total",785,333,162,171,409,36,154,40,82,32,77,34,40,3,142,87,55,43,18,1,4,20
"E01006663",2011,"Liverpool 004C","Total",510,175,64,111,294,11,116,37,62,17,65,30,32,3,102,67,35,41,12,0,6,23
"E01006664",2011,"Liverpool 004D","Total",822,327,128,199,447,25,163,55,66,42,85,40,40,5,174,124,50,48,23,0,5,20
"E01006665",2011,"Liverpool 007A","Total",630,180,49,131,416,22,250,76,124,50,62,34,26,2,82,61,21,34,21,0,1,12
"E01006666",2011,"Liverpool 007B","Total",514,84,30,54,399,19,266,52,163,51,51,26,24,1,63,44,19,31,22,0,0,9
"E01006667",2011,"Liverpool 007C","Total",618,188,78,110,382,38,191,74,75,42,43,28,14,1,110,69,41,48,15,0,3,30
"E01006668",2011,"Liverpool 007D","Total",590,119,32,87,446,26,254,75,139,40,86,46,35,5,80,63,17,25,17,0,0,8
"E01006669",2011,"Liverpool 004E","Total",551,123,28,95,397,15,249,72,131,46,67,29,32,6,66,48,18,31,17,1,1,12
"E01006670",2011,"Liverpool 007E","Total",607,133,38,95,444,44,242,78,116,48,63,25,34,4,95,71,24,30,10,0,0,20
"E01006671",2011,"Liverpool 013D","Total",499,115,52,63,341,37,200,53,86,61,32,11,16,5,72,53,19,43,23,0,1,19
"E01006672",2011,"Liverpool 010E","Total",798,238,80,158,516,37,200,51,92,57,94,29,57,8,185,138,47,44,28,0,2,14
"E01006673",2011,"Liverpool 037D","Total",954,482,125,357,355,7,113,25,80,8,57,41,13,3,178,128,50,117,28,26,3,60
"E01006674",2011,"Liverpool 039C","Total",826,400,113,287,356,13,138,24,105,9,28,17,10,1,177,119,58,70,30,7,4,29
"E01006675",2011,"Liverpool 043C","Total",1132,766,71,695,252,4,91,53,26,12,98,84,14,0,59,46,13,114,15,20,3,76
"E01006676",2011,"Liverpool 044D","Total",761,290,83,207,389,17,132,34,79,19,44,17,24,3,196,148,48,82,36,7,2,37
"E01006677",2011,"Liverpool 043D","Total",477,210,58,152,224,10,64,15,39,10,19,8,10,1,131,99,32,43,21,0,1,21
