"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006670",2011,"Liverpool 007E","Total",1526,1297,1269,13,8,1,4,1,1,163,66
"E01006671",2011,"Liverpool 013D","Total",1355,1095,1058,2,5,0,29,0,1,172,88
"E01006672",2011,"Liverpool 010E","Total",1955,1540,1510,0,6,0,19,4,1,297,118
"E01006673",2011,"Liverpool 037D","Total",1937,1376,778,33,17,2,531,0,15,425,136
"E01006674",2011,"Liverpool 039C","Total",1885,1554,670,11,13,3,845,8,4,217,114
"E01006675",2011,"Liverpool 043C","Total",1824,1040,715,30,7,9,252,8,19,636,148
"E01006676",2011,"Liverpool 044D","Total",1753,1393,904,2,25,2,443,7,10,229,131
"E01006677",2011,"Liverpool 043D","Total",1040,793,570,4,6,0,210,0,3,154,93
"E01006678",2011,"Liverpool 044E","Total",2127,1673,1459,14,2,0,188,0,10,316,138
"E01006679",2011,"Liverpool 039D","Total",2232,1845,698,27,4,0,1098,6,12,214,173
"E01006680",2011,"Liverpool 053B","Total",1569,1259,1199,8,0,9,29,11,3,225,85
"E01006681",2011,"Liverpool 054D","Total",1585,1232,1155,15,5,3,38,10,6,251,102
"E01006682",2011,"Liverpool 053C","Total",1310,1069,1043,7,0,5,10,1,3,167,74
"E01006683",2011,"Liverpool 053D","Total",1510,1278,1252,4,0,5,15,0,2,163,69
"E01006684",2011,"Liverpool 056B","Total",2138,1621,1559,5,13,12,24,2,6,398,119
"E01006685",2011,"Liverpool 056C","Total",1484,1144,1126,3,6,5,1,0,3,241,99
"E01006686",2011,"Liverpool 053E","Total",1433,1166,1147,0,0,2,17,0,0,173,94
"E01006687",2011,"Liverpool 056D","Total",1952,1355,1268,11,24,24,18,2,8,466,131
"E01006688",2011,"Liverpool 056E","Total",1524,1136,1096,5,1,3,26,2,3,287,101
"E01006689",2011,"Liverpool 049D","Total",1651,1251,1201,5,4,9,23,5,4,299,101
"E01006690",2011,"Liverpool 028A","Total",1492,1095,1003,16,1,0,66,1,8,291,106
"E01006691",2011,"Liverpool 030A","Total",1503,1134,936,28,31,0,134,4,1,268,101
"E01006692",2011,"Liverpool 028B","Total",2180,1656,1547,10,23,3,65,1,7,377,147
"E01006693",2011,"Liverpool 024D","Total",1511,1197,1140,2,2,0,49,4,0,212,102
"E01006694",2011,"Liverpool 030B","Total",1864,1421,1330,19,13,3,52,0,4,302,141
"E01006695",2011,"Liverpool 028C","Total",1821,1276,1137,17,5,1,105,1,10,415,130
"E01006696",2011,"Liverpool 030C","Total",1744,1392,1292,8,20,0,68,0,4,262,90
"E01006697",2011,"Liverpool 030D","Total",1845,1400,1228,11,15,0,141,0,5,340,105
"E01006698",2011,"Liverpool 012D","Total",1716,1425,1402,2,6,1,11,0,3,212,79
"E01006699",2011,"Liverpool 014A","Total",1594,1283,1270,3,0,1,6,0,3,209,102
"E01006700",2011,"Liverpool 012E","Total",1438,1135,1097,3,2,0,28,1,4,213,90
"E01006701",2011,"Liverpool 014B","Total",1380,1143,1122,0,4,0,15,0,2,145,92
"E01006702",2011,"Liverpool 014C","Total",1618,1256,1222,4,5,0,15,6,4,237,125
"E01006703",2011,"Liverpool 014D","Total",1561,1271,1238,6,9,1,17,0,0,186,104
"E01006705",2011,"Liverpool 009E","Total",1409,1123,1088,4,0,1,22,4,4,194,92
"E01006706",2011,"Liverpool 045A","Total",1346,1087,1071,2,1,1,8,1,3,182,77
"E01006707",2011,"Liverpool 045B","Total",1323,1062,1049,1,3,0,2,0,7,171,90
"E01006708",2011,"Liverpool 045C","Total",1805,1403,1381,2,0,4,12,0,4,254,148
"E01006709",2011,"Liverpool 040A","Total",1438,1126,1116,3,0,1,4,0,2,224,88
"E01006710",2011,"Liverpool 045D","Total",1496,1157,1147,2,6,1,0,0,1,273,66
"E01006711",2011,"Liverpool 027A","Total",1538,1191,1117,2,2,7,58,2,3,244,103
"E01006712",2011,"Liverpool 029D","Total",1339,1043,1015,11,7,0,3,2,5,195,101
"E01006713",2011,"Liverpool 029E","Total",1377,1104,1087,3,4,1,7,0,2,186,87
