"lsoa11cd","date","lsoa11nm","Rural Urban","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: Other; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E01006700",2011,"Liverpool 012E","Total",539,77,218,69,47,15,1,10,19,25,58,7141.9,15.7
"E01006701",2011,"Liverpool 014B","Total",599,98,253,79,43,15,1,15,17,29,49,7274,14
"E01006702",2011,"Liverpool 014C","Total",542,95,223,74,47,11,6,9,7,21,49,4415.6,9.4
"E01006703",2011,"Liverpool 014D","Total",522,89,219,73,42,10,7,5,16,23,38,5216.3,11.3
"E01006705",2011,"Liverpool 009E","Total",635,103,256,101,49,17,2,13,7,37,50,5677.8,10.4
"E01006706",2011,"Liverpool 045A","Total",445,57,85,160,70,6,6,1,10,20,30,5376.6,13.6
"E01006707",2011,"Liverpool 045B","Total",418,46,97,114,98,7,1,3,8,11,33,4499,12
"E01006708",2011,"Liverpool 045C","Total",738,94,129,279,98,16,13,11,12,26,60,7930.7,12.2
"E01006709",2011,"Liverpool 040A","Total",599,78,128,226,65,6,7,6,10,30,43,5511.8,10.5
"E01006710",2011,"Liverpool 045D","Total",668,39,198,142,183,12,14,9,15,18,38,8219.1,13.4
"E01006711",2011,"Liverpool 027A","Total",610,141,170,137,32,19,6,9,18,36,42,6611.2,12.4
"E01006712",2011,"Liverpool 029D","Total",581,126,140,182,34,18,3,4,12,23,39,5924.1,11.4
"E01006713",2011,"Liverpool 029E","Total",650,128,157,213,36,14,6,12,15,34,35,6873.9,11.8
"E01006716",2011,"Liverpool 032E","Total",643,131,195,143,45,13,6,8,21,34,47,7796.7,13.9
"E01006717",2011,"Liverpool 027D","Total",708,146,191,180,34,19,7,14,25,40,52,9227.8,15
"E01006718",2011,"Liverpool 027E","Total",717,141,223,176,31,16,2,12,11,45,60,6072.1,9.9
"E01006719",2011,"Liverpool 027F","Total",701,151,153,219,42,12,2,15,12,37,58,6191.1,10.2
"E01006720",2011,"Liverpool 035A","Total",771,118,296,123,49,23,5,30,24,44,59,9235.2,13.8
"E01006721",2011,"Liverpool 038C","Total",643,113,230,106,35,18,7,15,19,39,61,8333.4,15.3
"E01006722",2011,"Liverpool 038D","Total",729,103,291,86,50,39,4,36,17,49,54,8242,13.2
"E01006723",2011,"Liverpool 038E","Total",717,114,265,114,51,26,9,29,28,32,49,10292.7,16.2
"E01006724",2011,"Liverpool 038F","Total",675,79,284,98,45,29,9,20,23,33,55,8409.9,14.3
"E01006725",2011,"Liverpool 035B","Total",691,114,285,108,28,22,6,24,10,41,53,5736.5,9.6
"E01006726",2011,"Liverpool 035C","Total",686,132,284,91,41,17,2,17,20,25,57,8219.6,13.6
"E01006727",2011,"Liverpool 035D","Total",745,139,299,123,26,21,2,15,9,52,59,5636.5,8.9
"E01006728",2011,"Liverpool 035E","Total",627,112,262,94,38,15,6,12,10,30,48,4898.2,8.9
"E01006729",2011,"Liverpool 008C","Total",473,70,156,143,32,4,1,3,7,15,42,3715.9,8.9
"E01006730",2011,"Liverpool 011C","Total",461,72,129,152,25,6,1,8,16,16,36,5549.2,13.6
"E01006731",2011,"Liverpool 011D","Total",426,69,135,103,41,14,3,5,10,16,30,3998.6,10.5
"E01006732",2011,"Liverpool 011E","Total",478,65,157,136,36,4,2,5,10,18,45,4292.6,10.3
"E01006734",2011,"Liverpool 005C","Total",454,75,138,120,46,8,4,0,12,15,36,5330.2,13.2
"E01006735",2011,"Liverpool 005D","Total",455,117,100,117,44,8,2,2,14,19,32,5247,13
