"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"E01033748",2011,"Liverpool 050I","Total",772,57,511,189,13,2
"E01033749",2011,"Liverpool 042F","Total",1039,88,95,844,11,1
"E01033750",2011,"Liverpool 061A","Total",905,66,494,309,33,3
"E01033751",2011,"Liverpool 062A","Total",603,50,326,210,14,3
"E01033752",2011,"Liverpool 062B","Total",790,23,354,387,25,1
"E01033753",2011,"Liverpool 062C","Total",714,9,325,361,17,2
"E01033754",2011,"Liverpool 061B","Total",838,57,383,356,35,7
"E01033755",2011,"Liverpool 062D","Total",675,16,304,333,20,2
"E01033756",2011,"Liverpool 061C","Total",733,47,222,424,36,4
"E01033757",2011,"Liverpool 037E","Total",715,134,160,394,22,5
"E01033758",2011,"Liverpool 060B","Total",475,65,91,295,24,0
"E01033759",2011,"Liverpool 010F","Total",480,179,165,123,10,3
"E01033760",2011,"Liverpool 060C","Total",529,90,82,333,22,2
"E01033761",2011,"Liverpool 060D","Total",832,34,302,467,28,1
"E01033762",2011,"Liverpool 060E","Total",456,72,136,229,19,0
"E01033763",2011,"Liverpool 031G","Total",820,135,250,383,44,8
"E01033764",2011,"Liverpool 022E","Total",1172,250,460,411,41,10
"E01033765",2011,"Liverpool 061D","Total",659,122,322,177,33,5
"E01033766",2011,"Liverpool 042G","Total",424,144,154,106,19,1
"E01033767",2011,"Liverpool 050J","Total",562,61,287,191,21,2
"E01033768",2011,"Liverpool 037F","Total",835,46,190,558,39,2
