"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Rented from council (Local Authority); measures: Value","Tenure: Other social rented; measures: Value","Tenure: Private rented; measures: Value","Tenure: Living rent free; measures: Value"
"E01033758",2011,"Liverpool 060B","Total",23,2,0,1,16,3,1
"E01033759",2011,"Liverpool 010F","Total",122,55,0,10,46,5,6
"E01033760",2011,"Liverpool 060C","Total",7,3,1,0,3,0,0
"E01033761",2011,"Liverpool 060D","Total",6,1,0,0,3,2,0
"E01033762",2011,"Liverpool 060E","Total",46,10,0,2,30,2,2
"E01033763",2011,"Liverpool 031G","Total",198,51,1,14,121,6,5
"E01033764",2011,"Liverpool 022E","Total",328,73,1,54,172,16,12
"E01033765",2011,"Liverpool 061D","Total",123,29,0,20,64,5,5
"E01033766",2011,"Liverpool 042G","Total",63,51,0,0,5,7,0
"E01033767",2011,"Liverpool 050J","Total",108,62,0,14,25,7,0
"E01033768",2011,"Liverpool 037F","Total",59,3,0,3,45,6,2
