"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All categories: Hours worked; measures: Value","Hours Worked: Part-time: Total; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: Total; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value"
"E01006716",2011,"Liverpool 032E","Total",643,171,37,134,472,424,48
"E01006717",2011,"Liverpool 027D","Total",708,223,60,163,485,435,50
"E01006718",2011,"Liverpool 027E","Total",717,214,37,177,503,462,41
"E01006719",2011,"Liverpool 027F","Total",701,239,55,184,462,403,59
"E01006720",2011,"Liverpool 035A","Total",771,301,112,189,470,415,55
"E01006721",2011,"Liverpool 038C","Total",643,246,88,158,397,347,50
"E01006722",2011,"Liverpool 038D","Total",729,360,171,189,369,329,40
"E01006723",2011,"Liverpool 038E","Total",717,328,145,183,389,349,40
"E01006724",2011,"Liverpool 038F","Total",675,317,177,140,358,311,47
"E01006725",2011,"Liverpool 035B","Total",691,218,74,144,473,417,56
"E01006726",2011,"Liverpool 035C","Total",686,271,121,150,415,362,53
"E01006727",2011,"Liverpool 035D","Total",745,232,65,167,513,457,56
"E01006728",2011,"Liverpool 035E","Total",627,203,66,137,424,382,42
"E01006729",2011,"Liverpool 008C","Total",473,200,45,155,273,245,28
"E01006730",2011,"Liverpool 011C","Total",461,158,33,125,303,277,26
"E01006731",2011,"Liverpool 011D","Total",426,137,37,100,289,263,26
"E01006732",2011,"Liverpool 011E","Total",478,199,47,152,279,253,26
"E01006734",2011,"Liverpool 005C","Total",454,183,28,155,271,249,22
"E01006735",2011,"Liverpool 005D","Total",455,178,41,137,277,254,23
"E01006736",2011,"Liverpool 005E","Total",569,185,41,144,384,348,36
"E01006737",2011,"Liverpool 005F","Total",522,189,39,150,333,310,23
"E01006738",2011,"Liverpool 058A","Total",571,205,54,151,366,331,35
"E01006739",2011,"Liverpool 058B","Total",615,211,41,170,404,377,27
"E01006740",2011,"Liverpool 057A","Total",428,143,27,116,285,264,21
"E01006741",2011,"Liverpool 058C","Total",673,215,42,173,458,417,41
"E01006742",2011,"Liverpool 057B","Total",665,209,52,157,456,398,58
"E01006743",2011,"Liverpool 058D","Total",1046,276,78,198,770,673,97
"E01006744",2011,"Liverpool 057C","Total",737,211,64,147,526,476,50
"E01006745",2011,"Liverpool 057D","Total",874,289,84,205,585,513,72
"E01006746",2011,"Liverpool 030E","Total",461,224,93,131,237,220,17
"E01006747",2011,"Liverpool 031B","Total",1024,651,418,233,373,317,56
"E01006748",2011,"Liverpool 031C","Total",644,354,193,161,290,267,23
"E01006751",2011,"Liverpool 031F","Total",640,336,158,178,304,264,40
"E01006752",2011,"Liverpool 035F","Total",387,154,57,97,233,209,24
"E01006753",2011,"Liverpool 059A","Total",530,178,38,140,352,312,40
"E01006754",2011,"Liverpool 059B","Total",627,202,50,152,425,385,40
"E01006755",2011,"Liverpool 059C","Total",491,174,33,141,317,290,27
"E01006756",2011,"Liverpool 059D","Total",606,210,42,168,396,352,44
"E01006757",2011,"Liverpool 059E","Total",485,171,35,136,314,285,29
"E01006758",2011,"Liverpool 059F","Total",545,171,30,141,374,338,36
"E01006759",2011,"Liverpool 028D","Total",501,154,43,111,347,300,47
"E01006760",2011,"Liverpool 028E","Total",685,190,65,125,495,438,57
"E01006761",2011,"Liverpool 020B","Total",654,211,50,161,443,402,41
"E01006762",2011,"Liverpool 015E","Total",652,217,47,170,435,392,43
"E01006763",2011,"Liverpool 020C","Total",634,188,47,141,446,401,45
"E01006764",2011,"Liverpool 020D","Total",634,207,60,147,427,375,52
"E01006765",2011,"Liverpool 020E","Total",624,182,49,133,442,399,43
"E01006766",2011,"Liverpool 019E","Total",476,177,38,139,299,269,30
"E01006767",2011,"Liverpool 019F","Total",748,230,58,172,518,458,60
"E01006768",2011,"Liverpool 020F","Total",628,165,52,113,463,409,54
"E01006769",2011,"Liverpool 040B","Total",417,115,25,90,302,273,29
"E01006770",2011,"Liverpool 040C","Total",366,141,29,112,225,200,25
"E01006771",2011,"Liverpool 040D","Total",489,177,36,141,312,277,35
"E01006772",2011,"Liverpool 040E","Total",457,167,41,126,290,264,26
"E01006773",2011,"Liverpool 036D","Total",698,204,55,149,494,445,49
"E01006774",2011,"Liverpool 036E","Total",737,205,57,148,532,452,80
"E01006775",2011,"Liverpool 040F","Total",436,160,34,126,276,242,34
"E01006776",2011,"Liverpool 022B","Total",663,187,40,147,476,434,42
"E01006778",2011,"Liverpool 014E","Total",815,278,59,219,537,487,50
"E01006779",2011,"Liverpool 022D","Total",571,217,49,168,354,307,47
"E01006780",2011,"Liverpool 002D","Total",724,212,47,165,512,456,56
"E01006781",2011,"Liverpool 003A","Total",825,222,53,169,603,530,73
"E01006782",2011,"Liverpool 003B","Total",764,217,65,152,547,491,56
"E01006783",2011,"Liverpool 002E","Total",726,219,42,177,507,455,52
"E01006784",2011,"Liverpool 003C","Total",723,190,41,149,533,485,48
"E01006785",2011,"Liverpool 003D","Total",823,218,52,166,605,538,67
"E01006786",2011,"Liverpool 003E","Total",922,260,70,190,662,583,79
"E01006787",2011,"Liverpool 006A","Total",942,312,67,245,630,539,91
"E01006788",2011,"Liverpool 006B","Total",844,262,59,203,582,525,57
"E01006790",2011,"Liverpool 006C","Total",589,201,38,163,388,340,48
"E01006791",2011,"Liverpool 006D","Total",620,211,42,169,409,365,44
"E01006792",2011,"Liverpool 046A","Total",615,173,39,134,442,345,97
"E01006793",2011,"Liverpool 051A","Total",645,202,54,148,443,364,79
"E01006794",2011,"Liverpool 046B","Total",758,205,56,149,553,438,115
"E01006795",2011,"Liverpool 051B","Total",726,217,65,152,509,401,108
"E01006796",2011,"Liverpool 047E","Total",752,235,81,154,517,360,157
"E01006797",2011,"Liverpool 051C","Total",639,198,61,137,441,373,68
"E01006798",2011,"Liverpool 051D","Total",719,181,64,117,538,441,97
"E01006799",2011,"Liverpool 051E","Total",702,190,53,137,512,410,102
"E01006800",2011,"Liverpool 046C","Total",576,176,48,128,400,338,62
"E01006801",2011,"Liverpool 046D","Total",656,183,61,122,473,387,86
"E01032505",2011,"Liverpool 050F","Total",575,192,52,140,383,322,61
"E01032506",2011,"Liverpool 050G","Total",668,193,53,140,475,411,64
"E01032507",2011,"Liverpool 050H","Total",889,236,79,157,653,558,95
"E01032508",2011,"Liverpool 027G","Total",655,210,42,168,445,406,39
"E01032509",2011,"Liverpool 027H","Total",612,201,53,148,411,372,39
"E01032510",2011,"Liverpool 008F","Total",887,282,68,214,605,525,80
"E01032511",2011,"Liverpool 008G","Total",619,222,59,163,397,367,30
"E01033747",2011,"Liverpool 018F","Total",264,89,29,60,175,156,19
"E01033748",2011,"Liverpool 050I","Total",926,130,47,83,796,677,119
"E01033749",2011,"Liverpool 042F","Total",205,127,93,34,78,57,21
"E01033750",2011,"Liverpool 061A","Total",1037,150,59,91,887,696,191
"E01033751",2011,"Liverpool 062A","Total",794,298,185,113,496,402,94
"E01033752",2011,"Liverpool 062B","Total",913,125,48,77,788,633,155
"E01033753",2011,"Liverpool 062C","Total",785,87,34,53,698,559,139
"E01033754",2011,"Liverpool 061B","Total",890,173,57,116,717,592,125
"E01033755",2011,"Liverpool 062D","Total",820,120,52,68,700,579,121
"E01033756",2011,"Liverpool 061C","Total",712,134,66,68,578,435,143
"E01033757",2011,"Liverpool 037E","Total",340,172,105,67,168,139,29
"E01033758",2011,"Liverpool 060B","Total",433,253,172,81,180,153,27
"E01033759",2011,"Liverpool 010F","Total",463,151,37,114,312,285,27
"E01033760",2011,"Liverpool 060C","Total",757,445,322,123,312,254,58
"E01033761",2011,"Liverpool 060D","Total",944,241,110,131,703,605,98
"E01033762",2011,"Liverpool 060E","Total",602,336,236,100,266,220,46
"E01033763",2011,"Liverpool 031G","Total",484,205,93,112,279,255,24
"E01033764",2011,"Liverpool 022E","Total",655,260,63,197,395,357,38
"E01033765",2011,"Liverpool 061D","Total",530,152,41,111,378,307,71
"E01033766",2011,"Liverpool 042G","Total",564,171,66,105,393,344,49
"E01033767",2011,"Liverpool 050J","Total",415,136,33,103,279,246,33
"E01033768",2011,"Liverpool 037F","Total",573,190,85,105,383,318,65
