"lsoa11cd","date","lsoa11nm","Rural Urban","disability/health/care: All categories: Long-term health problem or disability; measures: Value","disability/health/care: Day-to-day activities limited a lot; measures: Value","disability/health/care: Day-to-day activities limited a little; measures: Value","disability/health/care: Day-to-day activities not limited; measures: Value","disability/health/care: Day-to-day activities limited a lot: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities limited a little: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities not limited: Age 16 to 64; measures: Value","disability/health/care: Very good health; measures: Value","disability/health/care: Good health; measures: Value","disability/health/care: Fair health; measures: Value","disability/health/care: Bad health; measures: Value","disability/health/care: Very bad health; measures: Value","disability/health/care: Provides no unpaid care; measures: Value","disability/health/care: Provides 1 to 19 hours unpaid care a week; measures: Value","disability/health/care: Provides 20 to 49 hours unpaid care a week; measures: Value","disability/health/care: Provides 50 or more hours unpaid care a week; measures: Value"
"E01006641",2011,"Liverpool 025C","Total",1740,162,109,1469,64,61,994,941,517,194,67,21,1617,74,16,33
"E01006642",2011,"Liverpool 025D","Total",1290,235,145,910,130,99,591,508,390,218,128,46,1148,52,32,58
"E01006643",2011,"Liverpool 025E","Total",1822,265,162,1395,159,108,906,850,546,232,152,42,1617,96,34,75
"E01006644",2011,"Liverpool 017D","Total",2040,319,213,1508,184,127,1063,926,577,290,186,61,1786,103,64,87
"E01006645",2011,"Liverpool 017E","Total",1424,265,222,937,126,115,616,523,401,292,153,55,1254,71,41,58
"E01006646",2011,"Liverpool 023C","Total",1899,355,168,1376,224,129,1066,836,505,285,196,77,1700,81,50,68
"E01006647",2011,"Liverpool 024C","Total",1422,295,146,981,190,96,573,589,372,221,174,66,1246,59,41,76
"E01006648",2011,"Liverpool 023D","Total",2175,383,213,1579,226,142,1256,970,591,304,234,76,1934,97,45,99
"E01006651",2011,"Liverpool 001A","Total",1642,94,110,1438,54,71,1031,986,463,131,49,13,1443,126,25,48
"E01006652",2011,"Liverpool 002A","Total",1505,162,138,1205,86,70,846,687,504,213,73,28,1307,108,32,58
"E01006653",2011,"Liverpool 001B","Total",1520,275,179,1066,153,103,722,682,429,214,145,50,1315,99,25,81
"E01006654",2011,"Liverpool 005A","Total",1513,212,137,1164,78,76,829,728,418,225,112,30,1356,98,28,31
"E01006655",2011,"Liverpool 001C","Total",1758,228,165,1365,123,88,939,812,573,214,129,30,1567,84,31,76
"E01006656",2011,"Liverpool 002B","Total",1493,174,151,1168,82,99,837,721,470,182,90,30,1313,107,31,42
"E01006657",2011,"Liverpool 002C","Total",1211,167,113,931,90,66,648,532,394,173,82,30,1088,54,25,44
