propid,price,lnprice,advance,age,bathroom,bedroom,buyage,centheat,chelec,chepart,chgas,chgpart,chnone,floorm2,ftbuyer,greastings,grnorthing,laarea,labad,lagood,lea,pdetach,pflat,psemi,pterrace,popdens,prkdouble,prknone,prksingle,prkspace,tenfree,tenlease
528,345000,13,190000,101,1,3,40,1,0,0,1,0,0,103,0,520638,179375,0,0,0,307,0,0,0,1,64,0,1,0,0,1,0
529,160000,12,80000,66,1,3,41,1,0,0,1,0,0,102,0,520702,188302,0,0,0,304,0,0,1,0,5,0,0,1,0,1,0
530,68000,11,56000,16,1,1,33,2,1,0,0,0,0,31,1,520774,186625,0,0,0,304,0,1,0,0,73,0,0,0,1,0,1
531,165000,12,57004,71,1,3,38,1,0,0,1,0,0,114,0,520799,191594,0,0,0,302,0,0,1,0,39,0,0,1,0,1,0
532,222500,12,200000,91,1,3,39,1,0,0,1,0,0,76,0,520836,175640,0,0,0,318,0,0,0,1,67,0,1,0,0,1,0
533,340000,13,108881,96,1,3,48,0,0,0,0,0,1,122,0,520838,179390,0,0,0,307,0,0,0,1,55,0,0,1,0,1,0
534,97500,11,92000,11,1,1,24,6,0,1,0,0,0,44,1,520851,181404,0,0,0,307,0,1,0,0,37,0,1,0,0,0,1
535,110000,12,99000,31,1,1,28,1,0,0,1,0,0,56,1,520875,176926,0,0,0,313,0,1,0,0,2,0,1,0,0,0,1
536,280000,13,230000,101,1,3,29,1,0,0,1,0,0,95,0,520908,175623,0,0,0,318,0,0,0,1,70,0,1,0,0,1,0
537,210000,12,140000,9,1,2,25,1,0,0,1,0,0,71,1,520944,191996,0,0,0,302,0,1,0,0,18,0,0,0,1,0,1
538,120000,12,114000,21,1,1,30,1,0,0,1,0,0,48,1,521017,167854,0,0,0,314,0,1,0,0,31,0,0,1,0,0,1
539,91750,11,86000,101,1,1,31,1,0,0,1,0,0,55,1,521060,183429,0,0,0,304,0,1,0,0,55,0,1,0,0,0,1
540,375000,13,150000,91,1,3,30,1,0,0,1,0,0,108,0,521067,178265,0,0,0,313,0,0,0,1,72,0,1,0,0,1,0
541,113000,12,93000,101,1,2,32,1,0,0,1,0,0,76,0,521078,183357,0,0,0,304,0,1,0,0,55,0,1,0,0,0,1
542,186500,12,167850,66,1,2,28,1,0,0,1,0,0,57,1,521152,177790,0,0,0,313,0,1,0,0,32,0,1,0,0,1,0
543,142000,12,127800,11,1,2,27,1,0,0,1,0,0,82,1,521169,189658,0,0,0,302,0,0,1,0,27,0,0,0,1,1,0
544,170000,12,120000,62,1,3,30,1,0,0,1,0,0,112,0,521197,191476,0,0,0,302,0,0,0,1,34,0,0,0,1,1,0
545,490000,13,267000,101,2,4,34,1,0,0,1,0,0,137,0,521209,179394,0,0,0,307,0,0,0,1,66,0,1,0,0,1,0
546,250000,12,225000,96,1,2,41,1,0,0,1,0,0,74,1,521215,179419,0,0,0,307,0,1,0,0,66,0,1,0,0,0,1
547,127000,12,120650,12,1,4,28,1,0,0,1,0,0,67,1,521243,188544,0,0,0,302,0,0,0,1,57,0,0,0,1,1,0
548,97950,11,88155,45,1,2,31,1,0,0,1,0,0,66,1,521247,166620,0,0,0,314,0,1,0,0,17,0,0,0,1,0,1
549,103500,12,70000,101,1,1,27,1,0,0,1,0,0,48,1,521259,182227,0,0,0,307,0,1,0,0,22,0,1,0,0,0,1
550,98000,11,35170,11,1,1,39,1,0,0,1,0,0,54,0,521261,188358,0,0,0,302,0,0,0,1,73,0,0,0,1,1,0
551,148000,12,40000,11,1,3,29,1,0,0,1,0,0,88,1,521261,188358,0,0,0,302,0,0,0,1,73,0,0,0,1,1,0
552,360000,13,61931,101,1,2,37,1,0,0,1,0,0,107,0,521337,178301,0,0,0,313,0,0,0,1,84,0,1,0,0,1,0
553,129000,12,122550,41,1,3,45,1,0,0,1,0,0,77,1,521364,168184,0,0,0,314,0,1,0,0,24,0,1,0,0,0,1
554,104000,12,60000,71,1,1,30,0,0,0,0,0,1,50,1,521382,190312,0,0,0,302,0,0,0,1,101,0,0,0,1,1,0
555,102500,12,71202,11,1,2,33,6,0,1,0,0,0,41,0,521398,190366,0,0,0,302,0,1,0,0,71,0,0,0,1,0,1
556,335000,13,210000,121,1,2,30,1,0,0,1,0,0,92,0,521404,175972,0,0,0,318,0,0,0,1,61,0,1,0,0,1,0
557,289950,13,230000,91,1,2,35,1,0,0,1,0,0,78,1,521483,178692,0,0,0,313,0,1,0,0,80,0,1,0,0,0,1
558,249950,12,145000,91,1,3,28,1,0,0,1,0,0,81,0,521483,179502,0,0,0,205,0,1,0,0,69,0,1,0,0,0,1
559,166000,12,85000,91,1,3,38,5,0,0,0,1,0,124,1,521505,184215,0,0,0,304,0,0,0,1,115,0,1,0,0,1,0
560,275000,13,64000,66,1,3,30,1,0,0,1,0,0,112,0,521529,193073,0,0,0,302,1,0,0,0,12,0,0,1,0,1,0
561,275000,13,121000,66,1,3,30,1,0,0,1,0,0,112,0,521529,193073,0,0,0,302,1,0,0,0,12,0,0,1,0,1,0
562,190000,12,171000,91,1,3,27,1,0,0,1,0,0,83,1,521688,179880,0,0,0,307,0,1,0,0,76,0,1,0,0,0,1
563,330000,13,122000,121,1,3,35,1,0,0,1,0,0,106,0,521716,176031,0,0,0,318,0,0,0,1,47,0,1,0,0,1,0
564,120000,12,55000,101,1,3,55,1,0,0,1,0,0,89,1,521737,183868,0,0,0,304,0,1,0,0,44,0,1,0,0,0,1
565,116000,12,76000,71,1,2,42,1,0,0,1,0,0,58,0,521746,186430,0,0,0,304,0,1,0,0,62,0,1,0,0,0,1
566,80500,11,20000,66,1,1,57,0,0,0,0,0,1,62,1,521762,189401,0,0,0,302,0,1,0,0,25,0,1,0,0,0,1
567,86000,11,72000,11,1,1,24,2,1,0,0,0,0,39,1,521768,188990,0,0,0,302,0,1,0,0,33,0,0,0,1,0,1
568,235000,12,120000,71,1,3,43,5,0,0,0,1,0,92,0,521889,180588,0,0,0,205,0,0,0,1,28,0,0,0,1,1,0
569,162000,12,60000,66,1,3,42,1,0,0,1,0,0,120,0,521975,189240,0,0,0,302,0,0,0,1,4,0,1,0,0,1,0
570,139000,12,122000,51,1,3,43,1,0,0,1,0,0,94,1,522039,177530,0,0,0,318,0,1,0,0,21,0,1,0,0,0,1
571,128000,12,115200,66,1,2,43,1,0,0,1,0,0,62,1,522099,169312,0,0,0,315,0,1,0,0,12,0,1,0,0,0,1
572,182000,12,60000,71,1,3,46,1,0,0,1,0,0,116,1,522115,187718,0,0,0,302,0,0,1,0,3,0,0,1,0,1,0
573,236000,12,130000,66,2,3,35,1,0,0,1,0,0,103,0,522196,167028,0,0,0,314,0,0,1,0,23,0,0,1,0,1,0
574,170000,12,110000,66,1,3,37,1,0,0,1,0,0,85,1,522200,187607,0,0,0,302,0,0,1,0,9,0,0,0,1,1,0
575,264000,12,80000,66,1,3,44,1,0,0,1,0,0,96,0,522294,177320,0,0,0,318,0,0,1,0,30,0,1,0,0,1,0
576,198000,12,55213,71,2,3,31,1,0,0,1,0,0,135,0,522300,166000,0,0,0,319,0,0,0,1,15,1,0,0,0,1,0
577,172000,12,140000,66,1,3,31,1,0,0,1,0,0,81,0,522303,165332,0,0,0,319,0,0,0,1,23,0,0,0,1,1,0
